Session,Hand,Bankroll,Change
1,1,990.00,-10.00
1,2,980.00,-10.00
1,3,970.00,-10.00
1,4,970.00,+0.00
1,5,985.00,+15.00
1,6,995.00,+10.00
1,7,1005.00,+10.00
1,8,995.00,-10.00
1,9,995.00,+0.00
1,10,1005.00,+10.00
1,11,1005.00,+0.00
1,12,1000.00,-5.00
1,13,990.00,-10.00
1,14,1000.00,+10.00
1,15,990.00,-10.00
1,16,980.00,-10.00
1,17,990.00,+10.00
1,18,980.00,-10.00
1,19,975.00,-5.00
1,20,985.00,+10.00
1,21,975.00,-10.00
1,22,985.00,+10.00
1,23,995.00,+10.00
1,24,985.00,-10.00
1,25,985.00,+0.00
1,26,995.00,+10.00
1,27,985.00,-10.00
1,28,975.00,-10.00
1,29,985.00,+10.00
1,30,1005.00,+20.00
1,31,995.00,-10.00
1,32,985.00,-10.00
1,33,975.00,-10.00
1,34,985.00,+10.00
1,35,975.00,-10.00
1,36,975.00,+0.00
1,37,985.00,+10.00
1,38,975.00,-10.00
1,39,965.00,-10.00
1,40,955.00,-10.00
1,41,935.00,-20.00
1,42,925.00,-10.00
1,43,945.00,+20.00
1,44,935.00,-10.00
1,45,945.00,+10.00
1,46,955.00,+10.00
1,47,965.00,+10.00
1,48,955.00,-10.00
1,49,950.00,-5.00
1,50,940.00,-10.00
1,51,950.00,+10.00
1,52,960.00,+10.00
1,53,980.00,+20.00
1,54,980.00,+0.00
1,55,970.00,-10.00
1,56,980.00,+10.00
1,57,990.00,+10.00
1,58,1005.00,+15.00
1,59,1000.00,-5.00
1,60,990.00,-10.00
1,61,980.00,-10.00
1,62,990.00,+10.00
1,63,980.00,-10.00
1,64,970.00,-10.00
1,65,965.00,-5.00
1,66,955.00,-10.00
1,67,935.00,-20.00
1,68,945.00,+10.00
1,69,935.00,-10.00
1,70,925.00,-10.00
1,71,905.00,-20.00
1,72,905.00,+0.00
1,73,895.00,-10.00
1,74,885.00,-10.00
1,75,885.00,+0.00
1,76,875.00,-10.00
1,77,885.00,+10.00
1,78,895.00,+10.00
1,79,885.00,-10.00
1,80,875.00,-10.00
1,81,865.00,-10.00
1,82,855.00,-10.00
1,83,870.00,+15.00
1,84,880.00,+10.00
1,85,870.00,-10.00
1,86,870.00,+0.00
1,87,900.00,+30.00
1,88,895.00,-5.00
1,89,885.00,-10.00
1,90,875.00,-10.00
1,91,865.00,-10.00
1,92,860.00,-5.00
1,93,850.00,-10.00
1,94,865.00,+15.00
1,95,855.00,-10.00
1,96,865.00,+10.00
1,97,855.00,-10.00
1,98,865.00,+10.00
1,99,855.00,-10.00
1,100,865.00,+10.00
2,1,1010.00,+10.00
2,2,1020.00,+10.00
2,3,1030.00,+10.00
2,4,1020.00,-10.00
2,5,1010.00,-10.00
2,6,1020.00,+10.00
2,7,1030.00,+10.00
2,8,1030.00,+0.00
2,9,1020.00,-10.00
2,10,1010.00,-10.00
2,11,1020.00,+10.00
2,12,1010.00,-10.00
2,13,1020.00,+10.00
2,14,1030.00,+10.00
2,15,1020.00,-10.00
2,16,1015.00,-5.00
2,17,1025.00,+10.00
2,18,1025.00,+0.00
2,19,1015.00,-10.00
2,20,1030.00,+15.00
2,21,1040.00,+10.00
2,22,1050.00,+10.00
2,23,1010.00,-40.00
2,24,1000.00,-10.00
2,25,990.00,-10.00
2,26,1000.00,+10.00
2,27,990.00,-10.00
2,28,1000.00,+10.00
2,29,995.00,-5.00
2,30,985.00,-10.00
2,31,975.00,-10.00
2,32,965.00,-10.00
2,33,965.00,+0.00
2,34,955.00,-10.00
2,35,945.00,-10.00
2,36,940.00,-5.00
2,37,930.00,-10.00
2,38,920.00,-10.00
2,39,910.00,-10.00
2,40,930.00,+20.00
2,41,920.00,-10.00
2,42,910.00,-10.00
2,43,910.00,+0.00
2,44,900.00,-10.00
2,45,880.00,-20.00
2,46,890.00,+10.00
2,47,910.00,+20.00
2,48,920.00,+10.00
2,49,910.00,-10.00
2,50,890.00,-20.00
2,51,880.00,-10.00
2,52,880.00,+0.00
2,53,870.00,-10.00
2,54,860.00,-10.00
2,55,840.00,-20.00
2,56,850.00,+10.00
2,57,860.00,+10.00
2,58,850.00,-10.00
2,59,860.00,+10.00
2,60,850.00,-10.00
2,61,840.00,-10.00
2,62,820.00,-20.00
2,63,810.00,-10.00
2,64,820.00,+10.00
2,65,820.00,+0.00
2,66,820.00,+0.00
2,67,830.00,+10.00
2,68,840.00,+10.00
2,69,850.00,+10.00
2,70,865.00,+15.00
2,71,875.00,+10.00
2,72,885.00,+10.00
2,73,895.00,+10.00
2,74,905.00,+10.00
2,75,915.00,+10.00
2,76,910.00,-5.00
2,77,920.00,+10.00
2,78,910.00,-10.00
2,79,920.00,+10.00
2,80,910.00,-10.00
2,81,930.00,+20.00
2,82,920.00,-10.00
2,83,900.00,-20.00
2,84,910.00,+10.00
2,85,900.00,-10.00
2,86,910.00,+10.00
2,87,925.00,+15.00
2,88,935.00,+10.00
2,89,945.00,+10.00
2,90,935.00,-10.00
2,91,915.00,-20.00
2,92,935.00,+20.00
2,93,925.00,-10.00
2,94,925.00,+0.00
2,95,935.00,+10.00
2,96,950.00,+15.00
2,97,940.00,-10.00
2,98,930.00,-10.00
2,99,945.00,+15.00
2,100,940.00,-5.00
3,1,995.00,-5.00
3,2,1010.00,+15.00
3,3,1030.00,+20.00
3,4,1020.00,-10.00
3,5,1030.00,+10.00
3,6,1025.00,-5.00
3,7,1035.00,+10.00
3,8,1015.00,-20.00
3,9,1035.00,+20.00
3,10,1025.00,-10.00
3,11,1035.00,+10.00
3,12,1035.00,+0.00
3,13,1025.00,-10.00
3,14,1045.00,+20.00
3,15,1035.00,-10.00
3,16,1015.00,-20.00
3,17,1005.00,-10.00
3,18,995.00,-10.00
3,19,985.00,-10.00
3,20,975.00,-10.00
3,21,975.00,+0.00
3,22,990.00,+15.00
3,23,1000.00,+10.00
3,24,1010.00,+10.00
3,25,1020.00,+10.00
3,26,1030.00,+10.00
3,27,1020.00,-10.00
3,28,1010.00,-10.00
3,29,1020.00,+10.00
3,30,1020.00,+0.00
3,31,1015.00,-5.00
3,32,1025.00,+10.00
3,33,1015.00,-10.00
3,34,1005.00,-10.00
3,35,995.00,-10.00
3,36,985.00,-10.00
3,37,985.00,+0.00
3,38,975.00,-10.00
3,39,985.00,+10.00
3,40,965.00,-20.00
3,41,975.00,+10.00
3,42,965.00,-10.00
3,43,965.00,+0.00
3,44,975.00,+10.00
3,45,965.00,-10.00
3,46,985.00,+20.00
3,47,975.00,-10.00
3,48,965.00,-10.00
3,49,975.00,+10.00
3,50,985.00,+10.00
3,51,975.00,-10.00
3,52,965.00,-10.00
3,53,955.00,-10.00
3,54,955.00,+0.00
3,55,950.00,-5.00
3,56,940.00,-10.00
3,57,930.00,-10.00
3,58,940.00,+10.00
3,59,930.00,-10.00
3,60,920.00,-10.00
3,61,940.00,+20.00
3,62,930.00,-10.00
3,63,920.00,-10.00
3,64,950.00,+30.00
3,65,940.00,-10.00
3,66,930.00,-10.00
3,67,920.00,-10.00
3,68,910.00,-10.00
3,69,905.00,-5.00
3,70,895.00,-10.00
3,71,915.00,+20.00
3,72,905.00,-10.00
3,73,915.00,+10.00
3,74,905.00,-10.00
3,75,925.00,+20.00
3,76,940.00,+15.00
3,77,955.00,+15.00
3,78,945.00,-10.00
3,79,935.00,-10.00
3,80,945.00,+10.00
3,81,935.00,-10.00
3,82,945.00,+10.00
3,83,935.00,-10.00
3,84,945.00,+10.00
3,85,940.00,-5.00
3,86,935.00,-5.00
3,87,925.00,-10.00
3,88,940.00,+15.00
3,89,930.00,-10.00
3,90,920.00,-10.00
3,91,910.00,-10.00
3,92,900.00,-10.00
3,93,895.00,-5.00
3,94,885.00,-10.00
3,95,905.00,+20.00
3,96,895.00,-10.00
3,97,885.00,-10.00
3,98,875.00,-10.00
