Session,Hand,Bankroll
1,1,990.00
1,2,1000.00
1,3,995.00
1,4,985.00
1,5,975.00
1,6,970.00
1,7,990.00
1,8,1010.00
1,9,1000.00
1,10,1010.00
1,11,1020.00
1,12,1000.00
1,13,995.00
1,14,995.00
1,15,1015.00
1,16,1005.00
1,17,995.00
1,18,1015.00
1,19,1005.00
1,20,995.00
1,21,1005.00
1,22,995.00
1,23,1015.00
1,24,1025.00
1,25,1005.00
1,26,1015.00
1,27,1005.00
1,28,1000.00
1,29,990.00
1,30,990.00
1,31,985.00
1,32,980.00
1,33,970.00
1,34,960.00
1,35,970.00
1,36,970.00
1,37,960.00
1,38,960.00
1,39,960.00
1,40,950.00
1,41,945.00
1,42,955.00
1,43,945.00
1,44,955.00
1,45,945.00
1,46,955.00
1,47,955.00
1,48,965.00
1,49,975.00
1,50,970.00
2,1,980.00
2,2,970.00
2,3,980.00
2,4,990.00
2,5,1000.00
2,6,990.00
2,7,980.00
2,8,990.00
2,9,980.00
2,10,980.00
2,11,970.00
2,12,960.00
2,13,970.00
2,14,960.00
2,15,940.00
2,16,950.00
2,17,960.00
2,18,970.00
2,19,960.00
2,20,980.00
2,21,995.00
2,22,985.00
2,23,985.00
2,24,980.00
2,25,970.00
2,26,960.00
2,27,980.00
2,28,970.00
2,29,960.00
2,30,955.00
2,31,945.00
2,32,935.00
2,33,925.00
2,34,935.00
2,35,945.00
2,36,935.00
2,37,955.00
2,38,955.00
2,39,945.00
2,40,935.00
2,41,915.00
2,42,925.00
2,43,915.00
2,44,925.00
2,45,915.00
2,46,905.00
2,47,915.00
2,48,915.00
2,49,935.00
2,50,945.00
3,1,990.00
3,2,985.00
3,3,975.00
3,4,965.00
3,5,975.00
3,6,985.00
3,7,995.00
3,8,985.00
3,9,985.00
3,10,975.00
3,11,975.00
3,12,985.00
3,13,995.00
3,14,1005.00
3,15,995.00
3,16,1005.00
3,17,1025.00
3,18,1035.00
3,19,1045.00
3,20,1040.00
3,21,1060.00
3,22,1050.00
3,23,1040.00
3,24,1050.00
3,25,1070.00
3,26,1080.00
3,27,1080.00
3,28,1070.00
3,29,1060.00
3,30,1050.00
3,31,1040.00
3,32,1030.00
3,33,1020.00
3,34,1030.00
3,35,1050.00
3,36,1050.00
3,37,1060.00
3,38,1070.00
3,39,1060.00
3,40,1050.00
3,41,1040.00
3,42,1050.00
3,43,1060.00
3,44,1070.00
3,45,1050.00
3,46,1045.00
3,47,1075.00
3,48,1065.00
3,49,1055.00
3,50,1070.00
