Session,Final Bankroll,Net Profit/Loss,Peak Bankroll,Maximum Drawdown,Win Streak,Loss Streak
1,970.00,-30.00,1025.00,6.4%,4,6
2,900.00,-100.00,1010.00,15.3%,6,5
3,990.00,-10.00,1105.00,10.4%,5,4
