Session,Hand,Bankroll
1,1,1015.00
1,2,1025.00
1,3,1035.00
1,4,1055.00
1,5,1045.00
1,6,1025.00
1,7,1015.00
1,8,1005.00
1,9,995.00
1,10,990.00
1,11,1005.00
1,12,995.00
1,13,985.00
1,14,1005.00
1,15,995.00
1,16,995.00
1,17,1005.00
1,18,995.00
1,19,985.00
1,20,995.00
1,21,985.00
1,22,985.00
1,23,975.00
1,24,965.00
1,25,995.00
1,26,990.00
1,27,1000.00
1,28,980.00
1,29,1000.00
1,30,1010.00
1,31,1020.00
1,32,1010.00
1,33,1010.00
1,34,1000.00
1,35,1010.00
1,36,1000.00
1,37,1010.00
1,38,1020.00
1,39,1000.00
1,40,1010.00
1,41,1020.00
1,42,1020.00
1,43,1050.00
1,44,1050.00
1,45,1040.00
1,46,1030.00
1,47,1010.00
1,48,1000.00
1,49,990.00
1,50,1000.00
1,51,1000.00
1,52,990.00
1,53,990.00
1,54,980.00
1,55,990.00
1,56,990.00
1,57,990.00
1,58,1000.00
1,59,990.00
1,60,1000.00
1,61,990.00
1,62,1005.00
1,63,995.00
1,64,985.00
1,65,995.00
1,66,985.00
1,67,975.00
1,68,970.00
1,69,970.00
1,70,960.00
1,71,970.00
1,72,980.00
1,73,980.00
1,74,990.00
1,75,1000.00
1,76,990.00
1,77,980.00
1,78,970.00
1,79,980.00
1,80,995.00
1,81,1005.00
1,82,1015.00
1,83,995.00
1,84,985.00
1,85,975.00
1,86,975.00
1,87,970.00
1,88,960.00
1,89,980.00
1,90,970.00
1,91,965.00
1,92,955.00
1,93,965.00
1,94,975.00
1,95,985.00
1,96,980.00
1,97,970.00
1,98,980.00
1,99,990.00
1,100,1000.00
2,1,980.00
2,2,990.00
2,3,1000.00
2,4,1010.00
2,5,1020.00
2,6,1000.00
2,7,990.00
2,8,980.00
2,9,990.00
2,10,980.00
2,11,1000.00
2,12,1000.00
2,13,1010.00
2,14,1020.00
2,15,1010.00
2,16,1000.00
2,17,1010.00
2,18,1005.00
2,19,1015.00
2,20,1015.00
2,21,1005.00
2,22,1015.00
2,23,1035.00
2,24,1045.00
2,25,1055.00
2,26,1045.00
2,27,1060.00
2,28,1050.00
2,29,1040.00
2,30,1050.00
2,31,1070.00
2,32,1060.00
2,33,1050.00
2,34,1060.00
2,35,1070.00
2,36,1060.00
2,37,1070.00
2,38,1065.00
2,39,1075.00
2,40,1075.00
2,41,1085.00
2,42,1105.00
2,43,1115.00
2,44,1105.00
2,45,1095.00
2,46,1115.00
2,47,1105.00
2,48,1115.00
2,49,1115.00
2,50,1110.00
2,51,1120.00
2,52,1110.00
2,53,1090.00
2,54,1100.00
2,55,1100.00
2,56,1120.00
2,57,1130.00
2,58,1120.00
2,59,1110.00
2,60,1120.00
2,61,1130.00
2,62,1140.00
2,63,1130.00
2,64,1120.00
2,65,1130.00
2,66,1130.00
2,67,1120.00
2,68,1140.00
2,69,1140.00
2,70,1150.00
2,71,1140.00
2,72,1150.00
2,73,1140.00
2,74,1130.00
2,75,1140.00
2,76,1130.00
2,77,1130.00
2,78,1140.00
2,79,1130.00
2,80,1140.00
2,81,1130.00
2,82,1120.00
2,83,1120.00
2,84,1130.00
2,85,1140.00
2,86,1150.00
2,87,1140.00
2,88,1130.00
2,89,1125.00
2,90,1140.00
2,91,1135.00
2,92,1155.00
2,93,1145.00
2,94,1135.00
2,95,1125.00
2,96,1135.00
2,97,1145.00
2,98,1135.00
2,99,1145.00
2,100,1135.00
3,1,990.00
3,2,980.00
3,3,990.00
3,4,1005.00
3,5,1015.00
3,6,1025.00
3,7,1035.00
3,8,1025.00
3,9,1025.00
3,10,1020.00
3,11,1020.00
3,12,1010.00
3,13,1000.00
3,14,1020.00
3,15,1030.00
3,16,1045.00
3,17,1045.00
