Session,Hand,Bankroll,Change
1,1,1020.00,+20.00
1,2,1030.00,+10.00
1,3,1045.00,+15.00
1,4,1055.00,+10.00
1,5,1045.00,-10.00
1,6,1035.00,-10.00
1,7,1025.00,-10.00
1,8,1015.00,-10.00
1,9,1005.00,-10.00
1,10,985.00,-20.00
1,11,980.00,-5.00
1,12,950.00,-30.00
1,13,940.00,-10.00
1,14,930.00,-10.00
1,15,920.00,-10.00
1,16,930.00,+10.00
1,17,940.00,+10.00
1,18,930.00,-10.00
1,19,920.00,-10.00
1,20,910.00,-10.00
1,21,920.00,+10.00
1,22,910.00,-10.00
1,23,905.00,-5.00
1,24,895.00,-10.00
1,25,890.00,-5.00
1,26,880.00,-10.00
1,27,870.00,-10.00
1,28,860.00,-10.00
1,29,840.00,-20.00
1,30,830.00,-10.00
1,31,840.00,+10.00
1,32,840.00,+0.00
1,33,855.00,+15.00
1,34,865.00,+10.00
1,35,875.00,+10.00
1,36,870.00,-5.00
1,37,890.00,+20.00
1,38,880.00,-10.00
1,39,890.00,+10.00
1,40,880.00,-10.00
1,41,870.00,-10.00
1,42,870.00,+0.00
1,43,860.00,-10.00
1,44,855.00,-5.00
1,45,845.00,-10.00
1,46,855.00,+10.00
1,47,835.00,-20.00
1,48,845.00,+10.00
1,49,860.00,+15.00
1,50,840.00,-20.00
1,51,840.00,+0.00
1,52,850.00,+10.00
1,53,850.00,+0.00
1,54,860.00,+10.00
1,55,875.00,+15.00
1,56,865.00,-10.00
1,57,905.00,+40.00
1,58,895.00,-10.00
1,59,910.00,+15.00
1,60,920.00,+10.00
1,61,910.00,-10.00
1,62,900.00,-10.00
1,63,890.00,-10.00
1,64,880.00,-10.00
1,65,880.00,+0.00
1,66,870.00,-10.00
1,67,880.00,+10.00
1,68,900.00,+20.00
1,69,890.00,-10.00
1,70,900.00,+10.00
1,71,910.00,+10.00
1,72,900.00,-10.00
1,73,910.00,+10.00
1,74,905.00,-5.00
1,75,915.00,+10.00
1,76,895.00,-20.00
1,77,885.00,-10.00
1,78,875.00,-10.00
1,79,885.00,+10.00
1,80,875.00,-10.00
1,81,885.00,+10.00
1,82,895.00,+10.00
1,83,885.00,-10.00
1,84,895.00,+10.00
1,85,905.00,+10.00
1,86,895.00,-10.00
1,87,915.00,+20.00
1,88,905.00,-10.00
1,89,895.00,-10.00
1,90,905.00,+10.00
1,91,895.00,-10.00
1,92,910.00,+15.00
1,93,910.00,+0.00
1,94,925.00,+15.00
1,95,915.00,-10.00
1,96,925.00,+10.00
1,97,935.00,+10.00
1,98,950.00,+15.00
1,99,940.00,-10.00
1,100,950.00,+10.00
2,1,1010.00,+10.00
2,2,1000.00,-10.00
2,3,1015.00,+15.00
2,4,1025.00,+10.00
2,5,1015.00,-10.00
2,6,1035.00,+20.00
2,7,1045.00,+10.00
2,8,1055.00,+10.00
2,9,1045.00,-10.00
2,10,1055.00,+10.00
2,11,1065.00,+10.00
2,12,1085.00,+20.00
2,13,1075.00,-10.00
2,14,1065.00,-10.00
2,15,1075.00,+10.00
2,16,1085.00,+10.00
2,17,1075.00,-10.00
2,18,1055.00,-20.00
2,19,1065.00,+10.00
2,20,1055.00,-10.00
2,21,1070.00,+15.00
2,22,1085.00,+15.00
2,23,1075.00,-10.00
2,24,1085.00,+10.00
2,25,1095.00,+10.00
2,26,1085.00,-10.00
2,27,1075.00,-10.00
2,28,1065.00,-10.00
2,29,1060.00,-5.00
2,30,1070.00,+10.00
2,31,1080.00,+10.00
2,32,1075.00,-5.00
2,33,1075.00,+0.00
2,34,1085.00,+10.00
2,35,1095.00,+10.00
2,36,1090.00,-5.00
2,37,1085.00,-5.00
2,38,1095.00,+10.00
2,39,1090.00,-5.00
2,40,1090.00,+0.00
2,41,1070.00,-20.00
2,42,1060.00,-10.00
2,43,1050.00,-10.00
2,44,1040.00,-10.00
2,45,1030.00,-10.00
2,46,1020.00,-10.00
2,47,1030.00,+10.00
2,48,1040.00,+10.00
2,49,1050.00,+10.00
2,50,1060.00,+10.00
2,51,1050.00,-10.00
2,52,1040.00,-10.00
2,53,1050.00,+10.00
2,54,1060.00,+10.00
2,55,1050.00,-10.00
2,56,1040.00,-10.00
2,57,1040.00,+0.00
2,58,1055.00,+15.00
2,59,1035.00,-20.00
2,60,1025.00,-10.00
2,61,1045.00,+20.00
2,62,1025.00,-20.00
2,63,1025.00,+0.00
2,64,1015.00,-10.00
2,65,1025.00,+10.00
2,66,1015.00,-10.00
2,67,1005.00,-10.00
2,68,1015.00,+10.00
2,69,1005.00,-10.00
2,70,1000.00,-5.00
2,71,1010.00,+10.00
2,72,990.00,-20.00
2,73,1005.00,+15.00
2,74,1005.00,+0.00
2,75,1015.00,+10.00
2,76,1025.00,+10.00
2,77,1035.00,+10.00
2,78,1025.00,-10.00
2,79,1015.00,-10.00
2,80,1025.00,+10.00
2,81,1040.00,+15.00
2,82,1035.00,-5.00
2,83,1055.00,+20.00
2,84,1065.00,+10.00
2,85,1075.00,+10.00
2,86,1075.00,+0.00
2,87,1095.00,+20.00
2,88,1110.00,+15.00
2,89,1100.00,-10.00
2,90,1090.00,-10.00
2,91,1080.00,-10.00
2,92,1090.00,+10.00
2,93,1100.00,+10.00
2,94,1110.00,+10.00
2,95,1100.00,-10.00
2,96,1110.00,+10.00
2,97,1100.00,-10.00
2,98,1090.00,-10.00
2,99,1080.00,-10.00
2,100,1100.00,+20.00
3,1,1010.00,+10.00
3,2,1000.00,-10.00
3,3,1010.00,+10.00
3,4,1010.00,+0.00
3,5,1020.00,+10.00
3,6,1010.00,-10.00
3,7,1010.00,+0.00
3,8,1000.00,-10.00
3,9,1010.00,+10.00
3,10,1020.00,+10.00
3,11,1030.00,+10.00
3,12,1040.00,+10.00
3,13,1030.00,-10.00
3,14,1020.00,-10.00
3,15,1030.00,+10.00
