Session,Final Bankroll,Net Profit/Loss,Peak Bankroll,Maximum Drawdown,Win Streak,Loss Streak
1,1040.00,+40.00,1080.00,13.4%,4,6
2,900.00,-100.00,1015.00,15.3%,4,9
3,905.00,-95.00,990.00,15.7%,5,9
4,685.00,-315.00,1010.00,33.2%,4,7
5,1025.00,+25.00,1085.00,12.1%,10,7
