Session,Final Bankroll,Net Profit/Loss,Peak Bankroll,Maximum Drawdown,Win Streak,Loss Streak
1,910.00,-90.00,1020.00,15.2%,3,5
2,970.00,-30.00,1060.00,12.7%,6,9
3,835.00,-165.00,1000.00,21.5%,4,8
4,1065.00,+65.00,1095.00,14.2%,8,4
5,950.00,-50.00,1040.00,11.5%,9,5
