Session,Hand,Bankroll,Change
1,1,1010.00,+10.00
1,2,1010.00,+0.00
1,3,1025.00,+15.00
1,4,1015.00,-10.00
1,5,1025.00,+10.00
1,6,1015.00,-10.00
1,7,1025.00,+10.00
1,8,1025.00,+0.00
1,9,1035.00,+10.00
1,10,1005.00,-30.00
1,11,1015.00,+10.00
1,12,1010.00,-5.00
1,13,1000.00,-10.00
1,14,1010.00,+10.00
1,15,1020.00,+10.00
1,16,1020.00,+0.00
1,17,1010.00,-10.00
1,18,1010.00,+0.00
1,19,1020.00,+10.00
1,20,1015.00,-5.00
1,21,1005.00,-10.00
1,22,995.00,-10.00
1,23,985.00,-10.00
1,24,975.00,-10.00
1,25,995.00,+20.00
1,26,1005.00,+10.00
1,27,1015.00,+10.00
1,28,1025.00,+10.00
1,29,1035.00,+10.00
1,30,1015.00,-20.00
1,31,1005.00,-10.00
1,32,995.00,-10.00
1,33,1005.00,+10.00
1,34,995.00,-10.00
1,35,1010.00,+15.00
1,36,1000.00,-10.00
1,37,1020.00,+20.00
1,38,1030.00,+10.00
1,39,1025.00,-5.00
1,40,1015.00,-10.00
1,41,1030.00,+15.00
1,42,1010.00,-20.00
1,43,1020.00,+10.00
1,44,1010.00,-10.00
1,45,1010.00,+0.00
1,46,1020.00,+10.00
1,47,1030.00,+10.00
1,48,1050.00,+20.00
1,49,1060.00,+10.00
1,50,1055.00,-5.00
2,1,1010.00,+10.00
2,2,1020.00,+10.00
2,3,1010.00,-10.00
2,4,1020.00,+10.00
2,5,1010.00,-10.00
2,6,1020.00,+10.00
2,7,1010.00,-10.00
2,8,1000.00,-10.00
2,9,1010.00,+10.00
2,10,1000.00,-10.00
2,11,995.00,-5.00
2,12,1005.00,+10.00
2,13,995.00,-10.00
2,14,985.00,-10.00
2,15,995.00,+10.00
2,16,985.00,-10.00
2,17,975.00,-10.00
2,18,965.00,-10.00
2,19,955.00,-10.00
2,20,965.00,+10.00
2,21,975.00,+10.00
2,22,955.00,-20.00
2,23,945.00,-10.00
2,24,935.00,-10.00
2,25,945.00,+10.00
2,26,935.00,-10.00
2,27,925.00,-10.00
2,28,915.00,-10.00
2,29,905.00,-10.00
2,30,905.00,+0.00
2,31,895.00,-10.00
2,32,905.00,+10.00
2,33,895.00,-10.00
2,34,905.00,+10.00
2,35,895.00,-10.00
2,36,890.00,-5.00
2,37,880.00,-10.00
2,38,870.00,-10.00
2,39,860.00,-10.00
2,40,870.00,+10.00
2,41,860.00,-10.00
2,42,875.00,+15.00
2,43,865.00,-10.00
2,44,875.00,+10.00
2,45,865.00,-10.00
2,46,855.00,-10.00
2,47,845.00,-10.00
2,48,840.00,-5.00
2,49,830.00,-10.00
2,50,845.00,+15.00
3,1,1010.00,+10.00
3,2,1010.00,+0.00
3,3,1000.00,-10.00
3,4,990.00,-10.00
3,5,980.00,-10.00
3,6,980.00,+0.00
3,7,990.00,+10.00
3,8,980.00,-10.00
3,9,970.00,-10.00
3,10,965.00,-5.00
3,11,965.00,+0.00
3,12,955.00,-10.00
3,13,935.00,-20.00
3,14,915.00,-20.00
3,15,905.00,-10.00
3,16,905.00,+0.00
3,17,895.00,-10.00
3,18,885.00,-10.00
3,19,905.00,+20.00
3,20,895.00,-10.00
3,21,885.00,-10.00
3,22,875.00,-10.00
3,23,885.00,+10.00
3,24,875.00,-10.00
3,25,885.00,+10.00
3,26,875.00,-10.00
3,27,875.00,+0.00
3,28,885.00,+10.00
3,29,895.00,+10.00
3,30,885.00,-10.00
3,31,875.00,-10.00
3,32,885.00,+10.00
3,33,895.00,+10.00
3,34,895.00,+0.00
3,35,885.00,-10.00
3,36,905.00,+20.00
3,37,915.00,+10.00
3,38,905.00,-10.00
3,39,895.00,-10.00
3,40,885.00,-10.00
3,41,865.00,-20.00
3,42,875.00,+10.00
3,43,865.00,-10.00
3,44,865.00,+0.00
3,45,875.00,+10.00
3,46,865.00,-10.00
3,47,860.00,-5.00
3,48,850.00,-10.00
3,49,840.00,-10.00
3,50,850.00,+10.00
