Session,Final Bankroll,Net Profit/Loss,Peak Bankroll,Maximum Drawdown,Win Streak,Loss Streak
1,950.00,-50.00,1055.00,21.3%,4,11
2,1100.00,+100.00,1110.00,9.6%,5,7
3,1010.00,+10.00,1105.00,12.2%,6,7
4,1050.00,+50.00,1075.00,7.6%,5,4
5,755.00,-245.00,1045.00,30.1%,3,7
