Session,Hand,Bankroll,Change
1,1,990.00,-10.00
1,2,980.00,-10.00
1,3,970.00,-10.00
1,4,950.00,-20.00
1,5,940.00,-10.00
1,6,930.00,-10.00
1,7,925.00,-5.00
1,8,935.00,+10.00
1,9,945.00,+10.00
1,10,955.00,+10.00
1,11,945.00,-10.00
1,12,935.00,-10.00
1,13,925.00,-10.00
1,14,945.00,+20.00
1,15,925.00,-20.00
1,16,915.00,-10.00
1,17,905.00,-10.00
1,18,895.00,-10.00
1,19,905.00,+10.00
1,20,920.00,+15.00
1,21,910.00,-10.00
1,22,900.00,-10.00
1,23,910.00,+10.00
1,24,910.00,+0.00
1,25,925.00,+15.00
1,26,915.00,-10.00
1,27,925.00,+10.00
1,28,935.00,+10.00
1,29,925.00,-10.00
1,30,920.00,-5.00
1,31,910.00,-10.00
1,32,900.00,-10.00
1,33,900.00,+0.00
1,34,910.00,+10.00
1,35,920.00,+10.00
1,36,930.00,+10.00
1,37,920.00,-10.00
1,38,910.00,-10.00
1,39,930.00,+20.00
1,40,940.00,+10.00
1,41,950.00,+10.00
1,42,970.00,+20.00
1,43,980.00,+10.00
1,44,975.00,-5.00
1,45,965.00,-10.00
1,46,955.00,-10.00
1,47,945.00,-10.00
1,48,935.00,-10.00
1,49,955.00,+20.00
1,50,945.00,-10.00
2,1,1000.00,+0.00
2,2,1010.00,+10.00
2,3,1005.00,-5.00
2,4,1005.00,+0.00
2,5,1020.00,+15.00
2,6,1020.00,+0.00
2,7,1030.00,+10.00
2,8,1060.00,+30.00
2,9,1070.00,+10.00
2,10,1080.00,+10.00
2,11,1090.00,+10.00
2,12,1080.00,-10.00
2,13,1080.00,+0.00
2,14,1100.00,+20.00
2,15,1110.00,+10.00
2,16,1120.00,+10.00
2,17,1120.00,+0.00
2,18,1130.00,+10.00
2,19,1150.00,+20.00
2,20,1170.00,+20.00
2,21,1170.00,+0.00
2,22,1160.00,-10.00
2,23,1150.00,-10.00
2,24,1140.00,-10.00
2,25,1150.00,+10.00
2,26,1140.00,-10.00
2,27,1130.00,-10.00
2,28,1140.00,+10.00
2,29,1130.00,-10.00
2,30,1130.00,+0.00
2,31,1140.00,+10.00
2,32,1140.00,+0.00
2,33,1150.00,+10.00
2,34,1160.00,+10.00
2,35,1150.00,-10.00
2,36,1140.00,-10.00
2,37,1130.00,-10.00
2,38,1120.00,-10.00
2,39,1130.00,+10.00
2,40,1120.00,-10.00
2,41,1130.00,+10.00
2,42,1150.00,+20.00
2,43,1150.00,+0.00
2,44,1160.00,+10.00
2,45,1150.00,-10.00
2,46,1140.00,-10.00
2,47,1150.00,+10.00
2,48,1140.00,-10.00
2,49,1130.00,-10.00
2,50,1130.00,+0.00
3,1,1020.00,+20.00
3,2,1030.00,+10.00
3,3,1050.00,+20.00
3,4,1045.00,-5.00
3,5,1035.00,-10.00
3,6,1035.00,+0.00
3,7,1025.00,-10.00
3,8,1035.00,+10.00
3,9,1025.00,-10.00
3,10,1020.00,-5.00
3,11,1015.00,-5.00
3,12,1015.00,+0.00
3,13,1025.00,+10.00
3,14,1015.00,-10.00
3,15,1015.00,+0.00
3,16,1035.00,+20.00
3,17,1045.00,+10.00
3,18,1055.00,+10.00
3,19,1045.00,-10.00
3,20,1035.00,-10.00
3,21,1025.00,-10.00
3,22,1035.00,+10.00
3,23,1050.00,+15.00
3,24,1050.00,+0.00
3,25,1040.00,-10.00
3,26,1030.00,-10.00
3,27,1010.00,-20.00
3,28,1020.00,+10.00
3,29,1010.00,-10.00
3,30,990.00,-20.00
3,31,980.00,-10.00
3,32,970.00,-10.00
3,33,960.00,-10.00
3,34,970.00,+10.00
3,35,970.00,+0.00
3,36,980.00,+10.00
3,37,960.00,-20.00
3,38,960.00,+0.00
3,39,970.00,+10.00
3,40,960.00,-10.00
3,41,970.00,+10.00
3,42,980.00,+10.00
3,43,990.00,+10.00
3,44,990.00,+0.00
3,45,1000.00,+10.00
3,46,1010.00,+10.00
3,47,1000.00,-10.00
3,48,990.00,-10.00
3,49,980.00,-10.00
3,50,990.00,+10.00
