Session,Hand,Bankroll,Change
1,1,1010.00,+10.00
1,2,1020.00,+10.00
1,3,1010.00,-10.00
1,4,1000.00,-10.00
1,5,995.00,-5.00
1,6,985.00,-10.00
1,7,975.00,-10.00
1,8,995.00,+20.00
1,9,1005.00,+10.00
1,10,995.00,-10.00
1,11,985.00,-10.00
1,12,975.00,-10.00
1,13,965.00,-10.00
1,14,960.00,-5.00
1,15,955.00,-5.00
1,16,965.00,+10.00
1,17,975.00,+10.00
1,18,965.00,-10.00
1,19,955.00,-10.00
1,20,975.00,+20.00
1,21,985.00,+10.00
1,22,1000.00,+15.00
1,23,1010.00,+10.00
1,24,1000.00,-10.00
1,25,1010.00,+10.00
1,26,1000.00,-10.00
1,27,990.00,-10.00
1,28,980.00,-10.00
1,29,970.00,-10.00
1,30,980.00,+10.00
1,31,990.00,+10.00
1,32,1000.00,+10.00
1,33,1010.00,+10.00
1,34,1000.00,-10.00
1,35,1010.00,+10.00
1,36,1000.00,-10.00
1,37,995.00,-5.00
1,38,1005.00,+10.00
1,39,1005.00,+0.00
1,40,1015.00,+10.00
1,41,1025.00,+10.00
1,42,1015.00,-10.00
1,43,1005.00,-10.00
1,44,995.00,-10.00
1,45,985.00,-10.00
1,46,975.00,-10.00
1,47,985.00,+10.00
1,48,980.00,-5.00
1,49,980.00,+0.00
1,50,970.00,-10.00
2,1,1010.00,+10.00
2,2,1000.00,-10.00
2,3,990.00,-10.00
2,4,1000.00,+10.00
2,5,990.00,-10.00
2,6,980.00,-10.00
2,7,970.00,-10.00
2,8,960.00,-10.00
2,9,950.00,-10.00
2,10,970.00,+20.00
2,11,960.00,-10.00
2,12,950.00,-10.00
2,13,940.00,-10.00
2,14,950.00,+10.00
2,15,940.00,-10.00
2,16,930.00,-10.00
2,17,945.00,+15.00
2,18,935.00,-10.00
2,19,915.00,-20.00
2,20,905.00,-10.00
2,21,900.00,-5.00
2,22,910.00,+10.00
2,23,920.00,+10.00
2,24,910.00,-10.00
2,25,900.00,-10.00
2,26,910.00,+10.00
2,27,900.00,-10.00
2,28,890.00,-10.00
2,29,880.00,-10.00
2,30,870.00,-10.00
2,31,890.00,+20.00
2,32,880.00,-10.00
2,33,890.00,+10.00
2,34,910.00,+20.00
2,35,925.00,+15.00
2,36,915.00,-10.00
2,37,905.00,-10.00
2,38,885.00,-20.00
2,39,875.00,-10.00
2,40,855.00,-20.00
2,41,865.00,+10.00
2,42,875.00,+10.00
2,43,885.00,+10.00
2,44,905.00,+20.00
2,45,925.00,+20.00
2,46,940.00,+15.00
2,47,930.00,-10.00
2,48,920.00,-10.00
2,49,910.00,-10.00
2,50,900.00,-10.00
3,1,1020.00,+20.00
3,2,1010.00,-10.00
3,3,1000.00,-10.00
3,4,1010.00,+10.00
3,5,1025.00,+15.00
3,6,1015.00,-10.00
3,7,1025.00,+10.00
3,8,1015.00,-10.00
3,9,1025.00,+10.00
3,10,1015.00,-10.00
3,11,1010.00,-5.00
3,12,1020.00,+10.00
3,13,1035.00,+15.00
3,14,1025.00,-10.00
3,15,1015.00,-10.00
3,16,1035.00,+20.00
3,17,1045.00,+10.00
3,18,1055.00,+10.00
3,19,1065.00,+10.00
3,20,1075.00,+10.00
3,21,1065.00,-10.00
3,22,1055.00,-10.00
3,23,1045.00,-10.00
3,24,1055.00,+10.00
3,25,1065.00,+10.00
3,26,1075.00,+10.00
3,27,1105.00,+30.00
3,28,1085.00,-20.00
3,29,1075.00,-10.00
3,30,1065.00,-10.00
3,31,1055.00,-10.00
3,32,1065.00,+10.00
3,33,1055.00,-10.00
3,34,1045.00,-10.00
3,35,1035.00,-10.00
3,36,1030.00,-5.00
3,37,1040.00,+10.00
3,38,1050.00,+10.00
3,39,1030.00,-20.00
3,40,1020.00,-10.00
3,41,1010.00,-10.00
3,42,1010.00,+0.00
3,43,1000.00,-10.00
3,44,1010.00,+10.00
3,45,1020.00,+10.00
3,46,1010.00,-10.00
3,47,1000.00,-10.00
3,48,990.00,-10.00
3,49,1000.00,+10.00
3,50,990.00,-10.00
