Session,Final Bankroll,Net Profit/Loss,Peak Bankroll,Maximum Drawdown,Win Streak,Loss Streak
1,970.00,-30.00,1010.00,7.9%,3,6
2,985.00,-15.00,1060.00,7.1%,3,6
3,865.00,-135.00,990.00,14.1%,3,6
