Session,Final Bankroll,Net Profit/Loss,Peak Bankroll,Maximum Drawdown,Win Streak,Loss Streak
1,1040.00,+40.00,1040.00,13.6%,5,7
2,950.00,-50.00,1045.00,18.2%,6,9
3,970.00,-30.00,1090.00,11.9%,4,4
4,1060.00,+60.00,1155.00,8.2%,10,6
5,955.00,-45.00,1040.00,8.9%,5,6
