Session,Hand,Bankroll
1,1,990.00
1,2,980.00
1,3,995.00
1,4,1015.00
1,5,1035.00
1,6,1015.00
1,7,1025.00
1,8,1015.00
1,9,1015.00
1,10,1025.00
1,11,1035.00
1,12,1045.00
1,13,1035.00
1,14,1045.00
1,15,1055.00
1,16,1065.00
1,17,1075.00
1,18,1065.00
1,19,1060.00
1,20,1050.00
1,21,1040.00
1,22,1035.00
1,23,1035.00
1,24,1030.00
1,25,1030.00
1,26,1040.00
1,27,1055.00
1,28,1065.00
1,29,1055.00
1,30,1045.00
1,31,1055.00
1,32,1035.00
1,33,1025.00
1,34,1040.00
1,35,1060.00
1,36,1050.00
1,37,1040.00
1,38,1030.00
1,39,1020.00
1,40,1030.00
1,41,1020.00
1,42,1010.00
1,43,1000.00
1,44,990.00
1,45,1000.00
1,46,1010.00
1,47,1020.00
1,48,1010.00
1,49,1020.00
1,50,1010.00
1,51,1020.00
1,52,1020.00
1,53,1035.00
1,54,1045.00
1,55,1035.00
1,56,1015.00
1,57,1025.00
1,58,1015.00
1,59,1030.00
1,60,1040.00
1,61,1020.00
1,62,1010.00
1,63,1000.00
1,64,1020.00
1,65,1030.00
1,66,1020.00
1,67,1020.00
1,68,1035.00
1,69,1025.00
1,70,1015.00
1,71,1005.00
1,72,1015.00
1,73,1005.00
1,74,1005.00
1,75,995.00
1,76,1005.00
1,77,995.00
1,78,1005.00
1,79,1005.00
1,80,995.00
1,81,1005.00
1,82,1015.00
1,83,1005.00
1,84,1015.00
1,85,1025.00
1,86,1020.00
1,87,1010.00
1,88,1025.00
1,89,1035.00
1,90,1035.00
1,91,1045.00
1,92,1045.00
1,93,1055.00
1,94,1050.00
1,95,1040.00
1,96,1060.00
1,97,1070.00
1,98,1070.00
1,99,1065.00
1,100,1080.00
2,1,1010.00
2,2,1000.00
2,3,1000.00
2,4,990.00
2,5,980.00
2,6,970.00
2,7,960.00
2,8,980.00
2,9,990.00
2,10,980.00
2,11,1020.00
2,12,1010.00
2,13,1005.00
2,14,995.00
2,15,985.00
2,16,975.00
2,17,985.00
2,18,975.00
2,19,975.00
2,20,970.00
2,21,970.00
2,22,960.00
2,23,955.00
2,24,945.00
2,25,940.00
2,26,930.00
2,27,920.00
2,28,910.00
2,29,920.00
2,30,900.00
2,31,890.00
2,32,900.00
2,33,890.00
2,34,870.00
2,35,880.00
2,36,880.00
2,37,870.00
2,38,890.00
2,39,900.00
2,40,890.00
2,41,880.00
2,42,870.00
2,43,880.00
2,44,870.00
2,45,860.00
2,46,870.00
2,47,890.00
2,48,890.00
2,49,890.00
2,50,900.00
2,51,890.00
2,52,880.00
2,53,890.00
2,54,880.00
2,55,870.00
2,56,880.00
2,57,890.00
2,58,880.00
2,59,870.00
2,60,850.00
2,61,860.00
2,62,850.00
2,63,840.00
2,64,850.00
2,65,860.00
2,66,850.00
2,67,840.00
2,68,830.00
2,69,825.00
2,70,805.00
2,71,795.00
2,72,775.00
2,73,785.00
2,74,775.00
2,75,765.00
2,76,775.00
2,77,790.00
2,78,800.00
2,79,810.00
2,80,820.00
2,81,810.00
2,82,800.00
2,83,810.00
2,84,820.00
2,85,810.00
2,86,800.00
2,87,790.00
2,88,790.00
2,89,780.00
2,90,770.00
2,91,790.00
2,92,780.00
2,93,800.00
2,94,790.00
2,95,780.00
2,96,780.00
2,97,770.00
2,98,780.00
2,99,770.00
2,100,760.00
3,1,1000.00
3,2,990.00
3,3,1000.00
3,4,990.00
3,5,1000.00
3,6,1010.00
3,7,1000.00
3,8,1010.00
3,9,1000.00
3,10,1010.00
3,11,1000.00
3,12,990.00
3,13,990.00
3,14,980.00
3,15,970.00
3,16,980.00
3,17,970.00
3,18,980.00
3,19,980.00
3,20,990.00
3,21,980.00
3,22,990.00
3,23,1000.00
3,24,1000.00
3,25,1010.00
3,26,990.00
3,27,1000.00
3,28,990.00
3,29,980.00
3,30,990.00
3,31,980.00
3,32,980.00
3,33,970.00
3,34,980.00
3,35,970.00
3,36,950.00
3,37,940.00
3,38,940.00
