Session,Final Bankroll,Net Profit/Loss,Peak Bankroll,Maximum Drawdown,Win Streak,Loss Streak
1,1055.00,+55.00,1060.00,5.8%,5,5
2,845.00,-155.00,1020.00,18.6%,2,5
3,850.00,-150.00,1010.00,16.8%,2,9
