Session,Hand,Bankroll,Change
1,1,990.00,-10.00
1,2,980.00,-10.00
1,3,995.00,+15.00
1,4,1005.00,+10.00
1,5,1015.00,+10.00
1,6,1025.00,+10.00
1,7,1035.00,+10.00
1,8,1045.00,+10.00
1,9,1035.00,-10.00
1,10,1025.00,-10.00
1,11,1015.00,-10.00
1,12,1025.00,+10.00
1,13,1015.00,-10.00
1,14,1005.00,-10.00
1,15,995.00,-10.00
1,16,985.00,-10.00
1,17,975.00,-10.00
1,18,985.00,+10.00
1,19,975.00,-10.00
1,20,965.00,-10.00
1,21,975.00,+10.00
1,22,985.00,+10.00
1,23,975.00,-10.00
1,24,965.00,-10.00
1,25,975.00,+10.00
1,26,985.00,+10.00
1,27,995.00,+10.00
1,28,990.00,-5.00
1,29,980.00,-10.00
1,30,990.00,+10.00
1,31,1000.00,+10.00
1,32,1010.00,+10.00
1,33,1000.00,-10.00
1,34,990.00,-10.00
1,35,1000.00,+10.00
1,36,1020.00,+20.00
1,37,1030.00,+10.00
1,38,1040.00,+10.00
1,39,1050.00,+10.00
1,40,1070.00,+20.00
1,41,1060.00,-10.00
1,42,1050.00,-10.00
1,43,1040.00,-10.00
1,44,1050.00,+10.00
1,45,1040.00,-10.00
1,46,1050.00,+10.00
1,47,1060.00,+10.00
1,48,1060.00,+0.00
1,49,1070.00,+10.00
1,50,1080.00,+10.00
2,1,1000.00,+0.00
2,2,1010.00,+10.00
2,3,1020.00,+10.00
2,4,1030.00,+10.00
2,5,1040.00,+10.00
2,6,1050.00,+10.00
2,7,1040.00,-10.00
2,8,1030.00,-10.00
2,9,1030.00,+0.00
2,10,1040.00,+10.00
2,11,1020.00,-20.00
2,12,1030.00,+10.00
2,13,1040.00,+10.00
2,14,1030.00,-10.00
2,15,1020.00,-10.00
2,16,1010.00,-10.00
2,17,1010.00,+0.00
2,18,1000.00,-10.00
2,19,1015.00,+15.00
2,20,1035.00,+20.00
2,21,1025.00,-10.00
2,22,1015.00,-10.00
2,23,1025.00,+10.00
2,24,1035.00,+10.00
2,25,1025.00,-10.00
2,26,1015.00,-10.00
2,27,1005.00,-10.00
2,28,1005.00,+0.00
2,29,1000.00,-5.00
2,30,1010.00,+10.00
2,31,1005.00,-5.00
2,32,1025.00,+20.00
2,33,1015.00,-10.00
2,34,1015.00,+0.00
2,35,1025.00,+10.00
2,36,1035.00,+10.00
2,37,1055.00,+20.00
2,38,1065.00,+10.00
2,39,1055.00,-10.00
2,40,1045.00,-10.00
2,41,1055.00,+10.00
2,42,1045.00,-10.00
2,43,1040.00,-5.00
2,44,1050.00,+10.00
2,45,1065.00,+15.00
2,46,1075.00,+10.00
2,47,1065.00,-10.00
2,48,1055.00,-10.00
2,49,1065.00,+10.00
2,50,1055.00,-10.00
3,1,990.00,-10.00
3,2,1000.00,+10.00
3,3,990.00,-10.00
3,4,1000.00,+10.00
3,5,1010.00,+10.00
3,6,1000.00,-10.00
3,7,990.00,-10.00
3,8,980.00,-10.00
3,9,1000.00,+20.00
3,10,995.00,-5.00
3,11,985.00,-10.00
3,12,975.00,-10.00
3,13,965.00,-10.00
3,14,985.00,+20.00
3,15,995.00,+10.00
3,16,1005.00,+10.00
3,17,995.00,-10.00
3,18,985.00,-10.00
3,19,995.00,+10.00
3,20,1015.00,+20.00
3,21,1025.00,+10.00
3,22,1035.00,+10.00
3,23,1050.00,+15.00
3,24,1040.00,-10.00
3,25,1030.00,-10.00
3,26,1020.00,-10.00
3,27,1020.00,+0.00
3,28,1040.00,+20.00
3,29,1040.00,+0.00
3,30,1050.00,+10.00
3,31,1060.00,+10.00
3,32,1070.00,+10.00
3,33,1060.00,-10.00
3,34,1070.00,+10.00
3,35,1060.00,-10.00
3,36,1060.00,+0.00
3,37,1070.00,+10.00
3,38,1080.00,+10.00
3,39,1070.00,-10.00
3,40,1080.00,+10.00
3,41,1100.00,+20.00
3,42,1095.00,-5.00
3,43,1105.00,+10.00
3,44,1115.00,+10.00
3,45,1125.00,+10.00
3,46,1115.00,-10.00
3,47,1105.00,-10.00
3,48,1105.00,+0.00
3,49,1100.00,-5.00
3,50,1095.00,-5.00
