Session,Final Bankroll,Net Profit/Loss,Peak Bankroll,Maximum Drawdown,Win Streak,Loss Streak
1,965.00,-35.00,1010.00,7.4%,2,4
2,1060.00,+60.00,1070.00,4.8%,3,4
3,955.00,-45.00,1015.00,6.4%,4,6
