Session,Final Bankroll,Net Profit/Loss,Peak Bankroll,Maximum Drawdown,Win Streak,Loss Streak
1,865.00,-135.00,1005.00,15.4%,3,6
2,940.00,-60.00,1050.00,22.9%,10,10
3,885.00,-115.00,1045.00,16.3%,5,6
4,1020.00,+20.00,1055.00,11.2%,5,7
5,1085.00,+85.00,1120.00,16.1%,7,7
