Session,Final Bankroll,Net Profit/Loss,Peak Bankroll,Maximum Drawdown,Win Streak,Loss Streak
1,945.00,-55.00,990.00,9.6%,5,6
2,1130.00,+130.00,1170.00,4.3%,6,4
3,990.00,-10.00,1055.00,9.0%,5,5
