Session,Hand,Bankroll,Change
1,1,1015.00,+15.00
1,2,1010.00,-5.00
1,3,1020.00,+10.00
1,4,1015.00,-5.00
1,5,1035.00,+20.00
1,6,1025.00,-10.00
1,7,1015.00,-10.00
1,8,1025.00,+10.00
1,9,1025.00,+0.00
1,10,1015.00,-10.00
1,11,1025.00,+10.00
1,12,1015.00,-10.00
1,13,1005.00,-10.00
1,14,995.00,-10.00
1,15,1005.00,+10.00
1,16,1020.00,+15.00
1,17,1040.00,+20.00
1,18,1030.00,-10.00
1,19,1025.00,-5.00
1,20,1020.00,-5.00
1,21,1030.00,+10.00
1,22,1020.00,-10.00
1,23,1010.00,-10.00
1,24,1000.00,-10.00
1,25,990.00,-10.00
1,26,1000.00,+10.00
1,27,990.00,-10.00
1,28,990.00,+0.00
1,29,1000.00,+10.00
1,30,1010.00,+10.00
1,31,1000.00,-10.00
1,32,1000.00,+0.00
1,33,990.00,-10.00
1,34,1010.00,+20.00
1,35,1010.00,+0.00
1,36,1025.00,+15.00
1,37,1015.00,-10.00
1,38,1010.00,-5.00
1,39,1000.00,-10.00
1,40,1010.00,+10.00
1,41,1000.00,-10.00
1,42,990.00,-10.00
1,43,980.00,-10.00
1,44,970.00,-10.00
1,45,965.00,-5.00
1,46,955.00,-10.00
1,47,945.00,-10.00
1,48,955.00,+10.00
1,49,945.00,-10.00
1,50,960.00,+15.00
1,51,970.00,+10.00
1,52,960.00,-10.00
1,53,950.00,-10.00
1,54,940.00,-10.00
1,55,930.00,-10.00
1,56,920.00,-10.00
1,57,940.00,+20.00
1,58,950.00,+10.00
1,59,960.00,+10.00
1,60,980.00,+20.00
1,61,970.00,-10.00
1,62,960.00,-10.00
1,63,970.00,+10.00
1,64,980.00,+10.00
1,65,970.00,-10.00
1,66,980.00,+10.00
1,67,990.00,+10.00
1,68,1000.00,+10.00
1,69,1015.00,+15.00
1,70,1015.00,+0.00
1,71,1025.00,+10.00
1,72,1015.00,-10.00
1,73,1005.00,-10.00
1,74,995.00,-10.00
1,75,985.00,-10.00
1,76,995.00,+10.00
1,77,995.00,+0.00
1,78,1005.00,+10.00
1,79,1015.00,+10.00
1,80,1005.00,-10.00
1,81,1015.00,+10.00
1,82,1005.00,-10.00
1,83,1015.00,+10.00
1,84,1025.00,+10.00
1,85,1025.00,+0.00
1,86,1020.00,-5.00
1,87,1030.00,+10.00
1,88,1050.00,+20.00
1,89,1070.00,+20.00
1,90,1070.00,+0.00
1,91,1060.00,-10.00
1,92,1080.00,+20.00
1,93,1070.00,-10.00
1,94,1080.00,+10.00
1,95,1090.00,+10.00
1,96,1080.00,-10.00
1,97,1080.00,+0.00
1,98,1090.00,+10.00
1,99,1080.00,-10.00
1,100,1090.00,+10.00
2,1,1015.00,+15.00
2,2,1035.00,+20.00
2,3,1025.00,-10.00
2,4,1025.00,+0.00
2,5,1035.00,+10.00
2,6,1045.00,+10.00
2,7,1065.00,+20.00
2,8,1075.00,+10.00
2,9,1075.00,+0.00
2,10,1085.00,+10.00
2,11,1075.00,-10.00
2,12,1085.00,+10.00
2,13,1075.00,-10.00
2,14,1065.00,-10.00
2,15,1065.00,+0.00
2,16,1055.00,-10.00
2,17,1045.00,-10.00
2,18,1035.00,-10.00
2,19,1030.00,-5.00
2,20,1020.00,-10.00
2,21,1035.00,+15.00
2,22,1045.00,+10.00
2,23,1060.00,+15.00
2,24,1060.00,+0.00
2,25,1050.00,-10.00
2,26,1040.00,-10.00
2,27,1060.00,+20.00
2,28,1050.00,-10.00
2,29,1045.00,-5.00
2,30,1045.00,+0.00
2,31,1035.00,-10.00
2,32,1045.00,+10.00
2,33,1065.00,+20.00
2,34,1055.00,-10.00
