Session,Hand,Bankroll,Change
1,1,990.00,-10.00
1,2,1000.00,+10.00
1,3,1000.00,+0.00
1,4,1015.00,+15.00
1,5,1015.00,+0.00
1,6,1015.00,+0.00
1,7,1015.00,+0.00
1,8,1010.00,-5.00
1,9,1000.00,-10.00
1,10,1015.00,+15.00
1,11,995.00,-20.00
1,12,995.00,+0.00
1,13,985.00,-10.00
1,14,975.00,-10.00
1,15,965.00,-10.00
1,16,980.00,+15.00
1,17,1000.00,+20.00
1,18,1010.00,+10.00
1,19,1020.00,+10.00
1,20,1040.00,+20.00
1,21,1050.00,+10.00
1,22,1060.00,+10.00
1,23,1050.00,-10.00
1,24,1040.00,-10.00
1,25,1050.00,+10.00
1,26,1045.00,-5.00
1,27,1035.00,-10.00
1,28,1030.00,-5.00
1,29,1040.00,+10.00
1,30,1050.00,+10.00
1,31,1030.00,-20.00
1,32,1050.00,+20.00
1,33,1040.00,-10.00
1,34,1030.00,-10.00
1,35,1040.00,+10.00
1,36,1050.00,+10.00
1,37,1040.00,-10.00
1,38,1020.00,-20.00
1,39,1010.00,-10.00
1,40,1000.00,-10.00
1,41,995.00,-5.00
1,42,985.00,-10.00
1,43,995.00,+10.00
1,44,985.00,-10.00
1,45,975.00,-10.00
1,46,965.00,-10.00
1,47,975.00,+10.00
1,48,985.00,+10.00
1,49,985.00,+0.00
1,50,980.00,-5.00
2,1,995.00,-5.00
2,2,1005.00,+10.00
2,3,995.00,-10.00
2,4,985.00,-10.00
2,5,975.00,-10.00
2,6,985.00,+10.00
2,7,975.00,-10.00
2,8,985.00,+10.00
2,9,980.00,-5.00
2,10,980.00,+0.00
2,11,990.00,+10.00
2,12,980.00,-10.00
2,13,995.00,+15.00
2,14,1005.00,+10.00
2,15,1000.00,-5.00
2,16,990.00,-10.00
2,17,980.00,-10.00
2,18,970.00,-10.00
2,19,960.00,-10.00
2,20,950.00,-10.00
2,21,940.00,-10.00
2,22,950.00,+10.00
2,23,950.00,+0.00
2,24,940.00,-10.00
2,25,920.00,-20.00
2,26,930.00,+10.00
2,27,950.00,+20.00
2,28,940.00,-10.00
2,29,950.00,+10.00
2,30,960.00,+10.00
2,31,955.00,-5.00
2,32,945.00,-10.00
2,33,955.00,+10.00
2,34,955.00,+0.00
2,35,965.00,+10.00
2,36,975.00,+10.00
2,37,995.00,+20.00
2,38,985.00,-10.00
2,39,985.00,+0.00
2,40,985.00,+0.00
2,41,995.00,+10.00
2,42,1015.00,+20.00
2,43,1005.00,-10.00
2,44,1015.00,+10.00
2,45,1015.00,+0.00
2,46,1035.00,+20.00
2,47,1055.00,+20.00
2,48,1045.00,-10.00
2,49,1055.00,+10.00
2,50,1045.00,-10.00
3,1,990.00,-10.00
3,2,980.00,-10.00
3,3,990.00,+10.00
3,4,1000.00,+10.00
3,5,1000.00,+0.00
3,6,980.00,-20.00
3,7,960.00,-20.00
3,8,950.00,-10.00
3,9,940.00,-10.00
3,10,930.00,-10.00
3,11,920.00,-10.00
3,12,910.00,-10.00
3,13,900.00,-10.00
3,14,910.00,+10.00
3,15,900.00,-10.00
3,16,895.00,-5.00
3,17,905.00,+10.00
3,18,895.00,-10.00
3,19,905.00,+10.00
3,20,915.00,+10.00
3,21,905.00,-10.00
3,22,895.00,-10.00
3,23,885.00,-10.00
3,24,875.00,-10.00
3,25,885.00,+10.00
3,26,865.00,-20.00
3,27,885.00,+20.00
3,28,875.00,-10.00
3,29,865.00,-10.00
3,30,845.00,-20.00
3,31,835.00,-10.00
3,32,845.00,+10.00
3,33,845.00,+0.00
3,34,835.00,-10.00
3,35,855.00,+20.00
3,36,845.00,-10.00
3,37,855.00,+10.00
3,38,865.00,+10.00
3,39,875.00,+10.00
3,40,865.00,-10.00
3,41,855.00,-10.00
3,42,850.00,-5.00
3,43,850.00,+0.00
3,44,830.00,-20.00
3,45,840.00,+10.00
3,46,830.00,-10.00
3,47,840.00,+10.00
3,48,830.00,-10.00
3,49,840.00,+10.00
3,50,860.00,+20.00
