Session,Final Bankroll,Net Profit/Loss,Peak Bankroll,Maximum Drawdown,Win Streak,Loss Streak
1,980.00,-20.00,1060.00,9.0%,7,6
2,1045.00,+45.00,1055.00,8.5%,4,7
3,860.00,-140.00,1000.00,17.0%,3,8
