Session,Final Bankroll,Net Profit/Loss,Peak Bankroll,Maximum Drawdown,Win Streak,Loss Streak
1,1020.00,+20.00,1160.00,12.1%,7,9
2,1070.00,+70.00,1070.00,8.8%,6,8
3,945.00,-55.00,1070.00,14.5%,4,6
4,920.00,-80.00,1015.00,11.8%,3,6
5,700.00,-300.00,1010.00,31.7%,4,5
