Session,Final Bankroll,Net Profit/Loss,Peak Bankroll,Maximum Drawdown,Win Streak,Loss Streak
1,1080.00,+80.00,1080.00,7.7%,6,5
2,1055.00,+55.00,1075.00,4.8%,5,4
3,1095.00,+95.00,1125.00,4.5%,5,4
