Session,Hand,Bankroll,Change
1,1,1010.00,+10.00
1,2,1000.00,-10.00
1,3,990.00,-10.00
1,4,980.00,-10.00
1,5,970.00,-10.00
1,6,950.00,-20.00
1,7,930.00,-20.00
1,8,940.00,+10.00
1,9,950.00,+10.00
1,10,940.00,-10.00
1,11,950.00,+10.00
1,12,970.00,+20.00
1,13,960.00,-10.00
1,14,970.00,+10.00
1,15,960.00,-10.00
1,16,980.00,+20.00
1,17,970.00,-10.00
1,18,960.00,-10.00
1,19,970.00,+10.00
1,20,960.00,-10.00
1,21,950.00,-10.00
1,22,940.00,-10.00
1,23,930.00,-10.00
1,24,940.00,+10.00
1,25,935.00,-5.00
1,26,950.00,+15.00
1,27,960.00,+10.00
1,28,970.00,+10.00
1,29,960.00,-10.00
1,30,950.00,-10.00
1,31,940.00,-10.00
1,32,930.00,-10.00
1,33,945.00,+15.00
1,34,965.00,+20.00
1,35,955.00,-10.00
1,36,975.00,+20.00
1,37,985.00,+10.00
1,38,985.00,+0.00
1,39,975.00,-10.00
1,40,970.00,-5.00
1,41,965.00,-5.00
1,42,975.00,+10.00
1,43,995.00,+20.00
1,44,985.00,-10.00
1,45,1000.00,+15.00
1,46,990.00,-10.00
1,47,980.00,-10.00
1,48,970.00,-10.00
1,49,980.00,+10.00
1,50,970.00,-10.00
2,1,1010.00,+10.00
2,2,1000.00,-10.00
2,3,990.00,-10.00
2,4,1010.00,+20.00
2,5,1025.00,+15.00
2,6,1035.00,+10.00
2,7,1030.00,-5.00
2,8,1040.00,+10.00
2,9,1020.00,-20.00
2,10,1015.00,-5.00
2,11,1025.00,+10.00
2,12,1020.00,-5.00
2,13,1030.00,+10.00
2,14,1025.00,-5.00
2,15,1015.00,-10.00
2,16,1025.00,+10.00
2,17,1035.00,+10.00
2,18,1025.00,-10.00
2,19,1035.00,+10.00
2,20,1050.00,+15.00
2,21,1060.00,+10.00
2,22,1050.00,-10.00
2,23,1045.00,-5.00
2,24,1055.00,+10.00
2,25,1045.00,-10.00
2,26,1040.00,-5.00
2,27,1020.00,-20.00
2,28,1010.00,-10.00
2,29,1010.00,+0.00
2,30,1000.00,-10.00
2,31,990.00,-10.00
2,32,990.00,+0.00
2,33,1010.00,+20.00
2,34,1000.00,-10.00
2,35,990.00,-10.00
2,36,1010.00,+20.00
2,37,1020.00,+10.00
2,38,1010.00,-10.00
2,39,1030.00,+20.00
2,40,1020.00,-10.00
2,41,1015.00,-5.00
2,42,1005.00,-10.00
2,43,1015.00,+10.00
2,44,1005.00,-10.00
2,45,995.00,-10.00
2,46,985.00,-10.00
2,47,995.00,+10.00
2,48,1005.00,+10.00
2,49,995.00,-10.00
2,50,985.00,-10.00
3,1,990.00,-10.00
3,2,980.00,-10.00
3,3,970.00,-10.00
3,4,980.00,+10.00
3,5,970.00,-10.00
3,6,970.00,+0.00
3,7,960.00,-10.00
3,8,950.00,-10.00
3,9,950.00,+0.00
3,10,940.00,-10.00
3,11,950.00,+10.00
3,12,940.00,-10.00
3,13,960.00,+20.00
3,14,950.00,-10.00
3,15,960.00,+10.00
3,16,950.00,-10.00
3,17,940.00,-10.00
3,18,930.00,-10.00
3,19,910.00,-20.00
3,20,900.00,-10.00
3,21,890.00,-10.00
3,22,900.00,+10.00
3,23,910.00,+10.00
3,24,930.00,+20.00
3,25,910.00,-20.00
3,26,900.00,-10.00
3,27,910.00,+10.00
3,28,900.00,-10.00
3,29,880.00,-20.00
3,30,870.00,-10.00
3,31,860.00,-10.00
3,32,875.00,+15.00
3,33,865.00,-10.00
3,34,855.00,-10.00
3,35,875.00,+20.00
3,36,865.00,-10.00
3,37,860.00,-5.00
3,38,855.00,-5.00
3,39,865.00,+10.00
3,40,860.00,-5.00
3,41,850.00,-10.00
3,42,860.00,+10.00
3,43,870.00,+10.00
3,44,880.00,+10.00
3,45,870.00,-10.00
3,46,880.00,+10.00
3,47,870.00,-10.00
3,48,880.00,+10.00
3,49,875.00,-5.00
3,50,865.00,-10.00
