Session,Hand,Bankroll
1,1,1010.00
1,2,1020.00
1,3,1020.00
1,4,1030.00
1,5,1020.00
1,6,1010.00
1,7,1000.00
1,8,1015.00
1,9,1025.00
1,10,1015.00
1,11,1025.00
1,12,1015.00
1,13,1025.00
1,14,1020.00
1,15,1030.00
1,16,1040.00
1,17,1050.00
1,18,1060.00
1,19,1050.00
1,20,1060.00
1,21,1050.00
1,22,1060.00
1,23,1070.00
1,24,1070.00
1,25,1070.00
1,26,1090.00
1,27,1080.00
1,28,1090.00
1,29,1100.00
1,30,1110.00
1,31,1120.00
1,32,1135.00
1,33,1125.00
1,34,1115.00
1,35,1125.00
1,36,1120.00
1,37,1100.00
1,38,1090.00
1,39,1100.00
1,40,1090.00
1,41,1100.00
1,42,1110.00
1,43,1100.00
1,44,1110.00
1,45,1100.00
1,46,1100.00
1,47,1110.00
1,48,1100.00
1,49,1090.00
1,50,1080.00
1,51,1090.00
1,52,1100.00
1,53,1110.00
1,54,1125.00
1,55,1135.00
1,56,1125.00
1,57,1120.00
1,58,1120.00
1,59,1100.00
1,60,1090.00
1,61,1080.00
1,62,1090.00
1,63,1080.00
1,64,1090.00
1,65,1110.00
1,66,1100.00
1,67,1090.00
1,68,1085.00
1,69,1095.00
1,70,1105.00
1,71,1085.00
1,72,1095.00
1,73,1085.00
1,74,1085.00
1,75,1105.00
1,76,1115.00
1,77,1105.00
1,78,1095.00
1,79,1085.00
1,80,1095.00
1,81,1085.00
1,82,1095.00
1,83,1105.00
1,84,1095.00
1,85,1105.00
1,86,1095.00
1,87,1085.00
1,88,1075.00
1,89,1095.00
1,90,1105.00
1,91,1085.00
1,92,1085.00
1,93,1100.00
1,94,1110.00
1,95,1130.00
1,96,1120.00
1,97,1130.00
1,98,1140.00
1,99,1150.00
1,100,1140.00
2,1,1000.00
2,2,990.00
2,3,990.00
2,4,1000.00
2,5,1010.00
2,6,1010.00
2,7,1020.00
2,8,1030.00
2,9,1040.00
2,10,1030.00
2,11,1020.00
2,12,1040.00
2,13,1060.00
2,14,1050.00
2,15,1060.00
2,16,1070.00
2,17,1060.00
2,18,1070.00
2,19,1060.00
2,20,1070.00
2,21,1080.00
2,22,1090.00
2,23,1100.00
2,24,1110.00
2,25,1110.00
2,26,1100.00
2,27,1110.00
2,28,1100.00
2,29,1110.00
2,30,1130.00
2,31,1140.00
2,32,1130.00
2,33,1140.00
2,34,1130.00
2,35,1145.00
2,36,1135.00
2,37,1135.00
2,38,1115.00
2,39,1105.00
2,40,1095.00
2,41,1085.00
2,42,1075.00
2,43,1075.00
2,44,1085.00
2,45,1095.00
2,46,1085.00
2,47,1105.00
2,48,1115.00
2,49,1115.00
2,50,1125.00
2,51,1135.00
2,52,1150.00
2,53,1140.00
2,54,1135.00
2,55,1125.00
2,56,1125.00
2,57,1135.00
2,58,1135.00
2,59,1125.00
2,60,1120.00
2,61,1130.00
2,62,1125.00
2,63,1125.00
2,64,1125.00
2,65,1135.00
2,66,1125.00
2,67,1135.00
2,68,1150.00
2,69,1140.00
2,70,1130.00
2,71,1140.00
2,72,1130.00
2,73,1140.00
2,74,1135.00
2,75,1105.00
2,76,1115.00
2,77,1125.00
2,78,1115.00
2,79,1105.00
2,80,1115.00
2,81,1105.00
2,82,1085.00
2,83,1095.00
2,84,1105.00
2,85,1095.00
2,86,1085.00
2,87,1095.00
2,88,1105.00
2,89,1095.00
2,90,1085.00
2,91,1095.00
2,92,1075.00
2,93,1085.00
2,94,1085.00
2,95,1095.00
2,96,1090.00
2,97,1080.00
2,98,1080.00
2,99,1070.00
2,100,1060.00
3,1,990.00
3,2,1000.00
3,3,1010.00
3,4,1020.00
3,5,1035.00
3,6,1050.00
3,7,1040.00
3,8,1030.00
3,9,1020.00
3,10,1030.00
3,11,1040.00
3,12,1050.00
3,13,1040.00
3,14,1030.00
3,15,1020.00
3,16,1015.00
