Session,Hand,Bankroll,Change
1,1,990.00,-10.00
1,2,1010.00,+20.00
1,3,1000.00,-10.00
1,4,990.00,-10.00
1,5,980.00,-10.00
1,6,970.00,-10.00
1,7,970.00,+0.00
1,8,985.00,+15.00
1,9,975.00,-10.00
1,10,955.00,-20.00
1,11,965.00,+10.00
1,12,960.00,-5.00
1,13,970.00,+10.00
1,14,960.00,-10.00
1,15,970.00,+10.00
1,16,965.00,-5.00
1,17,965.00,+0.00
1,18,975.00,+10.00
1,19,965.00,-10.00
1,20,955.00,-10.00
1,21,975.00,+20.00
1,22,965.00,-10.00
1,23,975.00,+10.00
1,24,975.00,+0.00
1,25,965.00,-10.00
1,26,975.00,+10.00
1,27,965.00,-10.00
1,28,975.00,+10.00
1,29,965.00,-10.00
1,30,975.00,+10.00
1,31,985.00,+10.00
1,32,975.00,-10.00
1,33,965.00,-10.00
1,34,945.00,-20.00
1,35,955.00,+10.00
1,36,945.00,-10.00
1,37,935.00,-10.00
1,38,950.00,+15.00
1,39,940.00,-10.00
1,40,950.00,+10.00
1,41,940.00,-10.00
1,42,960.00,+20.00
1,43,955.00,-5.00
1,44,950.00,-5.00
1,45,960.00,+10.00
1,46,955.00,-5.00
1,47,965.00,+10.00
1,48,975.00,+10.00
1,49,975.00,+0.00
1,50,965.00,-10.00
2,1,990.00,-10.00
2,2,1010.00,+20.00
2,3,1000.00,-10.00
2,4,1010.00,+10.00
2,5,1030.00,+20.00
2,6,1020.00,-10.00
2,7,1020.00,+0.00
2,8,1010.00,-10.00
2,9,1000.00,-10.00
2,10,1020.00,+20.00
2,11,1010.00,-10.00
2,12,1020.00,+10.00
2,13,1030.00,+10.00
2,14,1030.00,+0.00
2,15,1025.00,-5.00
2,16,1035.00,+10.00
2,17,1035.00,+0.00
2,18,1035.00,+0.00
2,19,1025.00,-10.00
2,20,1035.00,+10.00
2,21,1035.00,+0.00
2,22,1025.00,-10.00
2,23,1035.00,+10.00
2,24,1030.00,-5.00
2,25,1020.00,-10.00
2,26,1040.00,+20.00
2,27,1020.00,-20.00
2,28,1010.00,-10.00
2,29,1000.00,-10.00
2,30,990.00,-10.00
2,31,1010.00,+20.00
2,32,1020.00,+10.00
2,33,1030.00,+10.00
2,34,1020.00,-10.00
2,35,1035.00,+15.00
2,36,1025.00,-10.00
2,37,1040.00,+15.00
2,38,1060.00,+20.00
2,39,1055.00,-5.00
2,40,1045.00,-10.00
2,41,1035.00,-10.00
2,42,1045.00,+10.00
2,43,1035.00,-10.00
2,44,1050.00,+15.00
2,45,1040.00,-10.00
2,46,1050.00,+10.00
2,47,1040.00,-10.00
2,48,1050.00,+10.00
2,49,1070.00,+20.00
2,50,1060.00,-10.00
3,1,990.00,-10.00
3,2,1000.00,+10.00
3,3,1010.00,+10.00
3,4,990.00,-20.00
3,5,980.00,-10.00
3,6,970.00,-10.00
3,7,980.00,+10.00
3,8,990.00,+10.00
3,9,1000.00,+10.00
3,10,990.00,-10.00
3,11,980.00,-10.00
3,12,970.00,-10.00
3,13,965.00,-5.00
3,14,955.00,-10.00
3,15,945.00,-10.00
3,16,955.00,+10.00
3,17,965.00,+10.00
3,18,975.00,+10.00
3,19,985.00,+10.00
3,20,975.00,-10.00
3,21,985.00,+10.00
3,22,985.00,+0.00
3,23,975.00,-10.00
3,24,985.00,+10.00
3,25,1000.00,+15.00
3,26,1010.00,+10.00
3,27,1005.00,-5.00
3,28,1015.00,+10.00
3,29,1005.00,-10.00
3,30,1005.00,+0.00
3,31,995.00,-10.00
3,32,1005.00,+10.00
3,33,995.00,-10.00
3,34,985.00,-10.00
3,35,975.00,-10.00
3,36,965.00,-10.00
3,37,980.00,+15.00
3,38,980.00,+0.00
3,39,970.00,-10.00
3,40,960.00,-10.00
3,41,970.00,+10.00
3,42,960.00,-10.00
3,43,980.00,+20.00
3,44,970.00,-10.00
3,45,985.00,+15.00
3,46,995.00,+10.00
3,47,985.00,-10.00
3,48,975.00,-10.00
3,49,965.00,-10.00
3,50,955.00,-10.00
