Session,Hand,Bankroll
1,1,990.00
1,2,970.00
1,3,965.00
1,4,975.00
1,5,985.00
1,6,1000.00
1,7,990.00
1,8,990.00
1,9,1000.00
1,10,990.00
1,11,980.00
1,12,990.00
1,13,1000.00
1,14,995.00
1,15,985.00
1,16,995.00
1,17,985.00
1,18,985.00
1,19,975.00
1,20,970.00
1,21,960.00
1,22,950.00
1,23,950.00
1,24,940.00
1,25,950.00
1,26,940.00
1,27,930.00
1,28,920.00
1,29,930.00
1,30,920.00
1,31,930.00
1,32,920.00
1,33,910.00
1,34,930.00
1,35,940.00
1,36,940.00
1,37,930.00
1,38,940.00
1,39,955.00
1,40,965.00
1,41,955.00
1,42,950.00
1,43,960.00
1,44,950.00
1,45,940.00
1,46,930.00
1,47,940.00
1,48,930.00
1,49,920.00
1,50,910.00
2,1,980.00
2,2,975.00
2,3,965.00
2,4,955.00
2,5,945.00
2,6,945.00
2,7,955.00
2,8,965.00
2,9,955.00
2,10,945.00
2,11,955.00
2,12,965.00
2,13,955.00
2,14,970.00
2,15,980.00
2,16,990.00
2,17,970.00
2,18,980.00
2,19,970.00
2,20,990.00
2,21,980.00
2,22,990.00
2,23,1005.00
2,24,1015.00
2,25,1035.00
2,26,1050.00
2,27,1030.00
2,28,1040.00
2,29,1050.00
2,30,1060.00
2,31,1050.00
2,32,1060.00
2,33,1050.00
2,34,1050.00
2,35,1060.00
2,36,1060.00
2,37,1075.00
2,38,1070.00
2,39,1060.00
2,40,1050.00
2,41,1045.00
2,42,1025.00
2,43,1025.00
2,44,1025.00
2,45,1015.00
2,46,1005.00
2,47,995.00
2,48,1005.00
2,49,995.00
2,50,1005.00
3,1,1000.00
3,2,1010.00
3,3,1020.00
3,4,1010.00
3,5,1020.00
3,6,1010.00
3,7,1005.00
3,8,995.00
3,9,975.00
3,10,985.00
3,11,975.00
3,12,965.00
3,13,955.00
3,14,970.00
3,15,980.00
3,16,995.00
3,17,985.00
3,18,1000.00
3,19,1010.00
3,20,1025.00
3,21,1035.00
3,22,1025.00
3,23,1015.00
3,24,1005.00
3,25,1025.00
3,26,1015.00
3,27,1035.00
3,28,1045.00
3,29,1035.00
3,30,1045.00
3,31,1055.00
3,32,1045.00
3,33,1060.00
3,34,1055.00
3,35,1065.00
3,36,1075.00
3,37,1065.00
3,38,1075.00
3,39,1095.00
3,40,1105.00
3,41,1095.00
3,42,1085.00
3,43,1095.00
3,44,1105.00
3,45,1115.00
3,46,1105.00
3,47,1095.00
3,48,1085.00
3,49,1075.00
3,50,1085.00
