Session,Hand,Bankroll
1,1,990.00
1,2,990.00
1,3,1005.00
1,4,1015.00
1,5,1025.00
1,6,1035.00
1,7,1045.00
1,8,1055.00
1,9,1065.00
1,10,1075.00
1,11,1085.00
1,12,1095.00
1,13,1085.00
1,14,1075.00
1,15,1085.00
1,16,1095.00
1,17,1105.00
1,18,1125.00
1,19,1125.00
1,20,1135.00
1,21,1145.00
1,22,1155.00
1,23,1145.00
1,24,1135.00
1,25,1125.00
1,26,1135.00
1,27,1125.00
1,28,1125.00
1,29,1135.00
1,30,1125.00
1,31,1115.00
1,32,1135.00
1,33,1145.00
1,34,1145.00
1,35,1165.00
1,36,1175.00
1,37,1165.00
1,38,1155.00
1,39,1165.00
1,40,1165.00
1,41,1175.00
1,42,1185.00
1,43,1195.00
1,44,1195.00
1,45,1185.00
1,46,1175.00
1,47,1185.00
1,48,1195.00
1,49,1185.00
1,50,1175.00
1,51,1165.00
1,52,1155.00
1,53,1155.00
1,54,1165.00
1,55,1185.00
1,56,1195.00
1,57,1210.00
1,58,1200.00
1,59,1210.00
1,60,1200.00
1,61,1180.00
1,62,1170.00
1,63,1165.00
1,64,1155.00
1,65,1165.00
1,66,1175.00
1,67,1165.00
1,68,1155.00
1,69,1165.00
1,70,1175.00
1,71,1165.00
1,72,1155.00
1,73,1145.00
1,74,1135.00
1,75,1115.00
1,76,1105.00
1,77,1115.00
1,78,1125.00
1,79,1105.00
1,80,1115.00
1,81,1095.00
1,82,1105.00
1,83,1095.00
1,84,1085.00
1,85,1095.00
1,86,1075.00
1,87,1065.00
1,88,1065.00
1,89,1075.00
1,90,1085.00
1,91,1095.00
1,92,1105.00
1,93,1095.00
1,94,1085.00
1,95,1075.00
1,96,1065.00
1,97,1075.00
1,98,1085.00
1,99,1095.00
1,100,1085.00
2,1,1015.00
2,2,1005.00
2,3,1015.00
2,4,1025.00
2,5,1015.00
2,6,1005.00
2,7,995.00
2,8,985.00
2,9,975.00
2,10,985.00
2,11,975.00
2,12,985.00
2,13,1005.00
2,14,1000.00
2,15,1010.00
2,16,1000.00
2,17,1010.00
2,18,1020.00
2,19,1010.00
2,20,1020.00
2,21,1010.00
2,22,1030.00
2,23,1030.00
2,24,1020.00
2,25,1015.00
2,26,1025.00
2,27,1015.00
2,28,1015.00
2,29,1025.00
2,30,1020.00
2,31,1035.00
2,32,1025.00
2,33,1025.00
2,34,1015.00
2,35,1010.00
2,36,1000.00
2,37,980.00
2,38,970.00
2,39,965.00
2,40,955.00
2,41,965.00
2,42,975.00
2,43,985.00
2,44,995.00
2,45,995.00
2,46,995.00
2,47,985.00
2,48,975.00
2,49,965.00
2,50,955.00
2,51,965.00
2,52,960.00
2,53,960.00
2,54,950.00
2,55,960.00
2,56,940.00
2,57,940.00
2,58,920.00
2,59,915.00
2,60,925.00
2,61,935.00
2,62,935.00
2,63,925.00
2,64,905.00
2,65,915.00
2,66,925.00
2,67,935.00
2,68,945.00
2,69,955.00
2,70,965.00
2,71,965.00
2,72,955.00
2,73,945.00
2,74,955.00
2,75,945.00
2,76,955.00
2,77,965.00
2,78,960.00
2,79,950.00
2,80,960.00
2,81,970.00
2,82,970.00
2,83,970.00
2,84,980.00
2,85,975.00
2,86,955.00
2,87,965.00
2,88,955.00
2,89,945.00
2,90,935.00
2,91,945.00
2,92,940.00
2,93,930.00
2,94,920.00
2,95,930.00
2,96,940.00
2,97,930.00
2,98,945.00
2,99,955.00
2,100,945.00
3,1,1010.00
3,2,990.00
3,3,1005.00
3,4,1005.00
3,5,995.00
3,6,985.00
3,7,995.00
3,8,1005.00
3,9,995.00
3,10,985.00
3,11,995.00
3,12,1015.00
3,13,1005.00
3,14,1015.00
3,15,1025.00
3,16,1015.00
3,17,1035.00
3,18,1025.00
3,19,1045.00
3,20,1040.00
3,21,1030.00
3,22,1020.00
3,23,1015.00
3,24,1025.00
3,25,1015.00
3,26,1025.00
3,27,1035.00
3,28,1030.00
3,29,1020.00
3,30,1015.00
3,31,1025.00
3,32,1025.00
3,33,1015.00
3,34,1025.00
3,35,1035.00
3,36,1025.00
3,37,1015.00
3,38,1025.00
3,39,1035.00
3,40,1055.00
3,41,1045.00
3,42,1055.00
3,43,1065.00
3,44,1065.00
3,45,1060.00
3,46,1050.00
3,47,1050.00
3,48,1060.00
3,49,1050.00
3,50,1045.00
3,51,1055.00
3,52,1050.00
3,53,1060.00
3,54,1040.00
3,55,1060.00
3,56,1070.00
3,57,1080.00
3,58,1075.00
3,59,1065.00
3,60,1055.00
3,61,1070.00
3,62,1085.00
3,63,1095.00
3,64,1095.00
3,65,1105.00
3,66,1125.00
3,67,1135.00
3,68,1125.00
3,69,1140.00
