Session,Hand,Bankroll
1,1,1000.00
1,2,990.00
1,3,980.00
1,4,970.00
1,5,950.00
1,6,960.00
1,7,970.00
1,8,980.00
1,9,970.00
1,10,960.00
1,11,950.00
1,12,950.00
1,13,960.00
1,14,940.00
1,15,930.00
1,16,940.00
1,17,935.00
1,18,925.00
1,19,915.00
1,20,905.00
1,21,895.00
1,22,895.00
1,23,905.00
1,24,920.00
1,25,910.00
1,26,925.00
1,27,915.00
1,28,905.00
1,29,905.00
1,30,895.00
1,31,905.00
1,32,895.00
1,33,895.00
1,34,885.00
1,35,895.00
1,36,890.00
1,37,880.00
1,38,895.00
1,39,905.00
1,40,915.00
1,41,905.00
1,42,895.00
1,43,905.00
1,44,915.00
1,45,925.00
1,46,935.00
1,47,945.00
1,48,935.00
1,49,945.00
1,50,960.00
1,51,970.00
1,52,970.00
1,53,960.00
1,54,950.00
1,55,950.00
1,56,960.00
1,57,970.00
1,58,960.00
1,59,970.00
1,60,960.00
1,61,950.00
1,62,970.00
1,63,980.00
1,64,970.00
1,65,950.00
1,66,940.00
1,67,950.00
1,68,940.00
1,69,930.00
1,70,940.00
1,71,930.00
1,72,910.00
1,73,900.00
1,74,915.00
1,75,915.00
1,76,925.00
1,77,935.00
1,78,945.00
1,79,955.00
1,80,955.00
1,81,945.00
1,82,935.00
1,83,925.00
1,84,945.00
1,85,935.00
1,86,925.00
1,87,915.00
1,88,905.00
1,89,925.00
1,90,915.00
1,91,905.00
1,92,915.00
1,93,905.00
1,94,895.00
1,95,885.00
1,96,875.00
1,97,895.00
1,98,885.00
1,99,895.00
1,100,895.00
2,1,990.00
2,2,1000.00
2,3,990.00
2,4,990.00
2,5,1000.00
2,6,1000.00
2,7,1010.00
2,8,1020.00
2,9,1030.00
2,10,1020.00
2,11,1010.00
2,12,1025.00
2,13,1015.00
2,14,1005.00
2,15,995.00
2,16,985.00
2,17,995.00
2,18,1005.00
2,19,995.00
2,20,1005.00
2,21,1015.00
2,22,1025.00
2,23,1015.00
2,24,1025.00
2,25,1015.00
2,26,1025.00
2,27,1015.00
2,28,1015.00
2,29,1015.00
2,30,1005.00
2,31,1025.00
2,32,1015.00
2,33,995.00
2,34,985.00
2,35,975.00
2,36,955.00
2,37,945.00
2,38,955.00
2,39,955.00
2,40,945.00
2,41,965.00
2,42,965.00
2,43,960.00
2,44,940.00
2,45,940.00
2,46,930.00
2,47,930.00
2,48,940.00
2,49,930.00
2,50,940.00
2,51,940.00
2,52,950.00
2,53,960.00
2,54,970.00
2,55,960.00
2,56,950.00
2,57,960.00
2,58,970.00
2,59,960.00
2,60,950.00
2,61,950.00
2,62,960.00
2,63,950.00
2,64,940.00
2,65,930.00
2,66,940.00
2,67,930.00
2,68,940.00
2,69,955.00
2,70,965.00
2,71,965.00
2,72,980.00
2,73,970.00
2,74,970.00
2,75,970.00
2,76,980.00
2,77,970.00
2,78,980.00
2,79,975.00
2,80,945.00
2,81,945.00
2,82,935.00
2,83,925.00
2,84,935.00
2,85,955.00
2,86,945.00
2,87,945.00
2,88,935.00
2,89,925.00
2,90,915.00
2,91,915.00
2,92,905.00
2,93,925.00
2,94,915.00
2,95,925.00
2,96,925.00
2,97,915.00
2,98,905.00
2,99,915.00
2,100,905.00
3,1,1010.00
3,2,1020.00
3,3,1000.00
3,4,1010.00
3,5,1000.00
3,6,1010.00
3,7,1005.00
3,8,1000.00
3,9,990.00
3,10,1010.00
3,11,1000.00
3,12,1010.00
3,13,1000.00
3,14,1010.00
3,15,1020.00
3,16,1035.00
3,17,1045.00
3,18,1055.00
3,19,1045.00
3,20,1035.00
3,21,1025.00
3,22,1035.00
3,23,1050.00
3,24,1030.00
3,25,1020.00
3,26,1030.00
3,27,1025.00
3,28,1015.00
3,29,1030.00
3,30,1045.00
3,31,1035.00
3,32,1015.00
3,33,1005.00
3,34,1015.00
3,35,1005.00
3,36,995.00
3,37,1005.00
3,38,1015.00
3,39,1005.00
3,40,995.00
3,41,1005.00
3,42,1005.00
3,43,1045.00
3,44,1025.00
3,45,1015.00
3,46,1005.00
3,47,1015.00
3,48,1025.00
3,49,1035.00
3,50,1025.00
3,51,1015.00
3,52,1035.00
3,53,1035.00
3,54,1045.00
3,55,1045.00
3,56,1035.00
3,57,1055.00
3,58,1045.00
3,59,1055.00
3,60,1045.00
3,61,1035.00
3,62,1055.00
3,63,1055.00
3,64,1065.00
3,65,1075.00
3,66,1065.00
3,67,1055.00
3,68,1055.00
3,69,1045.00
3,70,1035.00
3,71,1025.00
3,72,1035.00
3,73,1045.00
3,74,1035.00
3,75,1045.00
3,76,1055.00
3,77,1070.00
3,78,1080.00
3,79,1070.00
3,80,1080.00
3,81,1090.00
3,82,1100.00
3,83,1090.00
3,84,1100.00
3,85,1100.00
3,86,1090.00
3,87,1080.00
3,88,1090.00
3,89,1100.00
3,90,1090.00
3,91,1100.00
3,92,1095.00
3,93,1105.00
3,94,1105.00
3,95,1115.00
3,96,1095.00
3,97,1105.00
3,98,1100.00
3,99,1090.00
3,100,1080.00
4,1,990.00
4,2,980.00
4,3,990.00
4,4,970.00
4,5,980.00
4,6,995.00
4,7,985.00
4,8,995.00
4,9,985.00
4,10,975.00
4,11,965.00
4,12,975.00
4,13,965.00
4,14,955.00
4,15,965.00
4,16,965.00
4,17,955.00
4,18,975.00
4,19,985.00
4,20,975.00
4,21,1005.00
4,22,995.00
4,23,1005.00
4,24,995.00
4,25,1005.00
4,26,1015.00
4,27,1025.00
4,28,1005.00
4,29,1015.00
4,30,1005.00
4,31,1015.00
4,32,995.00
4,33,985.00
4,34,995.00
4,35,985.00
4,36,995.00
4,37,985.00
4,38,975.00
4,39,985.00
4,40,975.00
4,41,985.00
4,42,975.00
4,43,985.00
4,44,975.00
4,45,965.00
4,46,975.00
4,47,975.00
4,48,965.00
4,49,945.00
4,50,935.00
4,51,925.00
4,52,935.00
4,53,925.00
4,54,935.00
4,55,955.00
4,56,945.00
4,57,935.00
4,58,925.00
4,59,915.00
4,60,925.00
4,61,915.00
4,62,925.00
4,63,915.00
4,64,915.00
4,65,905.00
4,66,895.00
4,67,895.00
4,68,905.00
4,69,915.00
4,70,925.00
4,71,935.00
4,72,955.00
4,73,945.00
4,74,935.00
4,75,945.00
4,76,935.00
4,77,925.00
4,78,925.00
4,79,920.00
4,80,910.00
4,81,900.00
4,82,920.00
4,83,930.00
4,84,910.00
4,85,900.00
4,86,910.00
4,87,900.00
4,88,890.00
4,89,870.00
4,90,860.00
4,91,870.00
4,92,860.00
4,93,850.00
4,94,840.00
4,95,855.00
4,96,875.00
4,97,885.00
4,98,875.00
4,99,865.00
4,100,875.00
5,1,1010.00
5,2,1000.00
5,3,1010.00
5,4,1000.00
5,5,1020.00
5,6,1010.00
5,7,1000.00
5,8,1010.00
5,9,1000.00
5,10,990.00
5,11,1000.00
5,12,1000.00
5,13,1010.00
5,14,1000.00
5,15,990.00
5,16,980.00
5,17,970.00
5,18,980.00
5,19,990.00
5,20,980.00
5,21,970.00
5,22,965.00
5,23,955.00
5,24,965.00
5,25,955.00
5,26,965.00
5,27,975.00
5,28,965.00
5,29,945.00
5,30,955.00
5,31,965.00
5,32,955.00
5,33,945.00
5,34,955.00
5,35,945.00
5,36,935.00
5,37,925.00
5,38,935.00
5,39,925.00
5,40,935.00
5,41,925.00
5,42,915.00
5,43,905.00
5,44,895.00
5,45,910.00
5,46,920.00
5,47,930.00
5,48,940.00
5,49,950.00
5,50,960.00
5,51,950.00
5,52,930.00
5,53,920.00
5,54,900.00
5,55,890.00
5,56,900.00
5,57,890.00
5,58,880.00
5,59,870.00
5,60,860.00
5,61,850.00
5,62,840.00
5,63,850.00
5,64,870.00
5,65,880.00
5,66,870.00
5,67,860.00
5,68,850.00
5,69,860.00
5,70,880.00
5,71,870.00
5,72,880.00
5,73,870.00
5,74,890.00
5,75,880.00
5,76,880.00
5,77,890.00
5,78,880.00
5,79,870.00
5,80,850.00
5,81,840.00
5,82,850.00
5,83,860.00
5,84,850.00
5,85,860.00
5,86,870.00
5,87,880.00
5,88,890.00
5,89,880.00
5,90,890.00
5,91,880.00
5,92,880.00
5,93,870.00
5,94,860.00
5,95,870.00
5,96,860.00
5,97,875.00
5,98,865.00
5,99,860.00
5,100,860.00
