Session,Hand,Bankroll
1,1,990.00
1,2,1010.00
1,3,1005.00
1,4,1020.00
1,5,1000.00
1,6,1010.00
1,7,1000.00
1,8,990.00
1,9,980.00
1,10,990.00
1,11,1000.00
1,12,1010.00
1,13,1005.00
1,14,995.00
1,15,985.00
1,16,995.00
1,17,985.00
1,18,980.00
1,19,970.00
1,20,960.00
1,21,950.00
1,22,960.00
1,23,950.00
1,24,940.00
1,25,940.00
1,26,950.00
1,27,940.00
1,28,930.00
1,29,920.00
1,30,920.00
1,31,930.00
1,32,940.00
1,33,940.00
1,34,930.00
1,35,940.00
1,36,960.00
1,37,970.00
1,38,980.00
1,39,980.00
1,40,980.00
1,41,970.00
1,42,980.00
1,43,990.00
1,44,1005.00
1,45,1015.00
1,46,1005.00
1,47,1015.00
1,48,995.00
1,49,985.00
1,50,995.00
2,1,1010.00
2,2,1000.00
2,3,990.00
2,4,980.00
2,5,990.00
2,6,1000.00
2,7,995.00
2,8,985.00
2,9,975.00
2,10,970.00
2,11,980.00
2,12,990.00
2,13,990.00
2,14,1000.00
2,15,980.00
2,16,970.00
2,17,960.00
2,18,950.00
2,19,960.00
2,20,950.00
2,21,950.00
2,22,960.00
2,23,975.00
2,24,965.00
2,25,975.00
2,26,975.00
2,27,970.00
2,28,960.00
2,29,955.00
2,30,965.00
2,31,955.00
2,32,965.00
2,33,965.00
2,34,960.00
2,35,970.00
2,36,965.00
2,37,975.00
2,38,995.00
2,39,1005.00
2,40,1015.00
2,41,1005.00
2,42,1015.00
2,43,1025.00
2,44,1015.00
2,45,1005.00
2,46,1015.00
2,47,1055.00
2,48,1045.00
2,49,1035.00
2,50,1025.00
3,1,1000.00
3,2,1015.00
3,3,1015.00
3,4,1015.00
3,5,1025.00
3,6,1015.00
3,7,1025.00
3,8,1035.00
3,9,1045.00
3,10,1035.00
3,11,1025.00
3,12,1015.00
3,13,1015.00
3,14,1005.00
3,15,1000.00
3,16,1010.00
3,17,1000.00
3,18,1010.00
3,19,1020.00
3,20,1010.00
3,21,1020.00
3,22,1030.00
3,23,1020.00
3,24,980.00
3,25,990.00
3,26,980.00
3,27,970.00
3,28,960.00
3,29,950.00
3,30,940.00
3,31,930.00
3,32,930.00
3,33,920.00
3,34,910.00
3,35,925.00
3,36,915.00
3,37,925.00
3,38,935.00
3,39,950.00
3,40,970.00
3,41,960.00
3,42,980.00
3,43,970.00
3,44,965.00
3,45,955.00
3,46,970.00
3,47,960.00
3,48,950.00
3,49,950.00
3,50,940.00
