Session,Hand,Bankroll
1,1,990.00
1,2,980.00
1,3,990.00
1,4,1010.00
1,5,1010.00
1,6,1010.00
1,7,1000.00
1,8,1000.00
1,9,990.00
1,10,985.00
1,11,975.00
1,12,965.00
1,13,955.00
1,14,965.00
1,15,955.00
1,16,945.00
1,17,955.00
1,18,950.00
1,19,940.00
1,20,930.00
1,21,940.00
1,22,950.00
1,23,940.00
1,24,930.00
1,25,920.00
1,26,910.00
1,27,930.00
1,28,940.00
1,29,950.00
1,30,940.00
1,31,950.00
1,32,960.00
1,33,950.00
1,34,950.00
1,35,940.00
1,36,950.00
1,37,940.00
1,38,930.00
1,39,920.00
1,40,910.00
1,41,920.00
1,42,930.00
1,43,940.00
1,44,935.00
1,45,945.00
1,46,945.00
1,47,945.00
1,48,955.00
1,49,945.00
1,50,935.00
1,51,925.00
1,52,935.00
1,53,945.00
1,54,965.00
1,55,965.00
1,56,955.00
1,57,945.00
1,58,935.00
1,59,925.00
1,60,935.00
1,61,925.00
1,62,935.00
1,63,925.00
1,64,935.00
1,65,925.00
1,66,915.00
1,67,915.00
1,68,925.00
1,69,935.00
1,70,925.00
1,71,915.00
1,72,915.00
1,73,925.00
1,74,935.00
1,75,925.00
1,76,905.00
1,77,915.00
1,78,925.00
1,79,935.00
1,80,925.00
1,81,915.00
1,82,935.00
1,83,945.00
1,84,955.00
1,85,955.00
1,86,945.00
1,87,935.00
1,88,915.00
1,89,925.00
1,90,935.00
1,91,945.00
1,92,965.00
1,93,965.00
1,94,955.00
1,95,945.00
1,96,955.00
1,97,945.00
1,98,960.00
1,99,950.00
1,100,965.00
2,1,990.00
2,2,1000.00
2,3,990.00
2,4,980.00
2,5,960.00
2,6,970.00
2,7,960.00
2,8,960.00
2,9,950.00
2,10,960.00
2,11,970.00
2,12,980.00
2,13,970.00
2,14,960.00
2,15,970.00
2,16,960.00
2,17,990.00
2,18,1000.00
2,19,990.00
2,20,1000.00
2,21,1010.00
2,22,1020.00
2,23,1010.00
2,24,1000.00
2,25,1015.00
2,26,1005.00
2,27,995.00
2,28,985.00
2,29,985.00
2,30,975.00
2,31,965.00
2,32,955.00
2,33,965.00
2,34,965.00
2,35,975.00
2,36,965.00
2,37,955.00
2,38,935.00
2,39,925.00
2,40,925.00
2,41,935.00
2,42,945.00
2,43,945.00
2,44,935.00
2,45,945.00
2,46,955.00
2,47,955.00
2,48,945.00
2,49,935.00
2,50,925.00
2,51,935.00
2,52,935.00
2,53,925.00
2,54,915.00
2,55,905.00
2,56,915.00
2,57,925.00
2,58,925.00
2,59,935.00
2,60,945.00
2,61,945.00
2,62,935.00
2,63,945.00
2,64,935.00
2,65,925.00
2,66,935.00
2,67,930.00
2,68,920.00
2,69,910.00
2,70,910.00
2,71,920.00
2,72,930.00
2,73,940.00
2,74,955.00
2,75,945.00
2,76,935.00
2,77,925.00
2,78,935.00
2,79,925.00
2,80,915.00
2,81,905.00
2,82,900.00
2,83,920.00
2,84,930.00
2,85,920.00
2,86,910.00
2,87,920.00
2,88,935.00
2,89,925.00
2,90,915.00
2,91,925.00
2,92,915.00
2,93,925.00
2,94,935.00
2,95,925.00
2,96,905.00
2,97,895.00
2,98,905.00
2,99,905.00
2,100,895.00
3,1,1010.00
3,2,1000.00
3,3,1000.00
3,4,990.00
3,5,980.00
3,6,990.00
3,7,970.00
3,8,985.00
3,9,995.00
3,10,1005.00
3,11,1015.00
3,12,1005.00
3,13,1020.00
3,14,1010.00
3,15,1000.00
3,16,990.00
3,17,980.00
3,18,970.00
3,19,960.00
3,20,970.00
3,21,960.00
3,22,970.00
3,23,985.00
3,24,995.00
3,25,1005.00
3,26,1015.00
3,27,1005.00
3,28,1015.00
3,29,1025.00
3,30,1025.00
3,31,1020.00
3,32,1030.00
3,33,1020.00
3,34,1010.00
3,35,1000.00
3,36,1010.00
3,37,1000.00
3,38,1020.00
3,39,1010.00
3,40,1000.00
3,41,1010.00
3,42,1000.00
3,43,1010.00
3,44,1020.00
3,45,1015.00
3,46,1005.00
3,47,995.00
