Session,Hand,Bankroll
1,1,1010.00
1,2,1030.00
1,3,1040.00
1,4,1020.00
1,5,1030.00
1,6,1040.00
1,7,1030.00
1,8,1040.00
1,9,1055.00
1,10,1045.00
1,11,1040.00
1,12,1055.00
1,13,1045.00
1,14,1035.00
1,15,1025.00
1,16,1015.00
1,17,1005.00
1,18,995.00
1,19,985.00
1,20,1005.00
1,21,1005.00
1,22,995.00
1,23,985.00
1,24,955.00
1,25,950.00
1,26,960.00
1,27,955.00
1,28,965.00
1,29,975.00
1,30,970.00
1,31,980.00
1,32,960.00
1,33,970.00
1,34,980.00
1,35,980.00
1,36,990.00
1,37,980.00
1,38,990.00
1,39,980.00
1,40,1000.00
1,41,1015.00
1,42,1030.00
1,43,1025.00
1,44,1040.00
1,45,1050.00
1,46,1060.00
1,47,1080.00
1,48,1080.00
1,49,1060.00
1,50,1070.00
1,51,1080.00
1,52,1075.00
1,53,1085.00
1,54,1080.00
1,55,1070.00
1,56,1080.00
1,57,1070.00
1,58,1080.00
1,59,1090.00
1,60,1080.00
1,61,1100.00
1,62,1090.00
1,63,1100.00
1,64,1090.00
1,65,1080.00
1,66,1070.00
1,67,1080.00
1,68,1070.00
1,69,1060.00
1,70,1050.00
1,71,1060.00
1,72,1055.00
1,73,1045.00
1,74,1035.00
1,75,1055.00
1,76,1065.00
1,77,1060.00
1,78,1050.00
1,79,1040.00
1,80,1050.00
1,81,1065.00
1,82,1055.00
1,83,1065.00
1,84,1055.00
1,85,1035.00
1,86,1050.00
1,87,1070.00
1,88,1070.00
1,89,1080.00
1,90,1090.00
1,91,1080.00
1,92,1070.00
1,93,1080.00
1,94,1090.00
1,95,1100.00
1,96,1110.00
1,97,1105.00
1,98,1085.00
1,99,1095.00
1,100,1105.00
2,1,990.00
2,2,1000.00
2,3,1010.00
2,4,1000.00
2,5,990.00
2,6,1000.00
2,7,990.00
2,8,970.00
2,9,970.00
2,10,980.00
2,11,990.00
2,12,980.00
2,13,960.00
2,14,960.00
2,15,960.00
2,16,950.00
2,17,940.00
2,18,930.00
2,19,920.00
2,20,910.00
2,21,900.00
2,22,890.00
2,23,900.00
2,24,890.00
2,25,880.00
2,26,860.00
2,27,860.00
2,28,850.00
2,29,860.00
2,30,870.00
2,31,860.00
2,32,850.00
2,33,850.00
2,34,840.00
2,35,850.00
2,36,845.00
2,37,855.00
2,38,845.00
2,39,835.00
2,40,845.00
2,41,840.00
2,42,830.00
2,43,820.00
2,44,800.00
2,45,810.00
2,46,800.00
2,47,790.00
2,48,780.00
2,49,770.00
2,50,780.00
2,51,770.00
2,52,780.00
2,53,770.00
2,54,760.00
2,55,750.00
2,56,740.00
2,57,750.00
2,58,760.00
2,59,770.00
2,60,780.00
2,61,770.00
2,62,765.00
2,63,765.00
2,64,775.00
2,65,765.00
2,66,755.00
2,67,765.00
2,68,760.00
2,69,750.00
2,70,730.00
2,71,730.00
2,72,745.00
2,73,735.00
2,74,745.00
2,75,725.00
2,76,725.00
2,77,715.00
2,78,725.00
2,79,715.00
2,80,725.00
2,81,715.00
2,82,715.00
2,83,725.00
2,84,715.00
2,85,725.00
2,86,735.00
2,87,725.00
2,88,735.00
2,89,735.00
2,90,735.00
2,91,725.00
2,92,720.00
2,93,710.00
2,94,720.00
2,95,730.00
2,96,720.00
2,97,730.00
2,98,720.00
2,99,710.00
2,100,700.00
3,1,990.00
3,2,980.00
3,3,970.00
3,4,960.00
3,5,950.00
3,6,940.00
3,7,950.00
3,8,960.00
3,9,950.00
3,10,940.00
3,11,930.00
3,12,940.00
3,13,950.00
3,14,930.00
3,15,940.00
3,16,930.00
3,17,910.00
3,18,900.00
3,19,890.00
3,20,900.00
3,21,890.00
3,22,870.00
3,23,860.00
3,24,870.00
3,25,885.00
3,26,900.00
3,27,910.00
3,28,930.00
3,29,920.00
3,30,930.00
3,31,910.00
3,32,900.00
3,33,895.00
3,34,890.00
3,35,890.00
3,36,880.00
3,37,890.00
3,38,900.00
3,39,890.00
3,40,880.00
3,41,870.00
3,42,870.00
3,43,860.00
3,44,860.00
3,45,870.00
3,46,880.00
3,47,870.00
3,48,885.00
3,49,895.00
3,50,905.00
3,51,900.00
3,52,920.00
3,53,930.00
3,54,940.00
3,55,950.00
3,56,940.00
3,57,920.00
3,58,910.00
3,59,900.00
3,60,890.00
3,61,885.00
3,62,895.00
3,63,885.00
3,64,895.00
3,65,905.00
3,66,895.00
3,67,885.00
3,68,875.00
3,69,865.00
3,70,875.00
3,71,885.00
3,72,865.00
3,73,855.00
3,74,845.00
3,75,865.00
3,76,875.00
3,77,875.00
3,78,875.00
3,79,865.00
3,80,860.00
3,81,880.00
3,82,870.00
3,83,880.00
3,84,890.00
3,85,910.00
3,86,900.00
3,87,890.00
3,88,900.00
3,89,890.00
3,90,880.00
3,91,870.00
3,92,850.00
3,93,860.00
3,94,870.00
3,95,870.00
3,96,860.00
3,97,870.00
3,98,880.00
3,99,890.00
3,100,870.00
4,1,980.00
4,2,990.00
4,3,1000.00
4,4,1020.00
4,5,1030.00
4,6,1040.00
4,7,1030.00
4,8,1045.00
4,9,1035.00
4,10,1045.00
4,11,1025.00
4,12,1015.00
4,13,1025.00
4,14,1005.00
4,15,1005.00
4,16,1015.00
4,17,1030.00
4,18,1020.00
4,19,1030.00
4,20,1045.00
4,21,1060.00
4,22,1050.00
4,23,1040.00
4,24,1060.00
4,25,1080.00
4,26,1100.00
4,27,1090.00
4,28,1080.00
4,29,1070.00
4,30,1060.00
4,31,1040.00
4,32,1030.00
4,33,1020.00
4,34,1020.00
4,35,1030.00
4,36,1020.00
4,37,1030.00
4,38,1020.00
4,39,1035.00
4,40,1025.00
4,41,1020.00
4,42,1010.00
4,43,1000.00
4,44,990.00
4,45,1000.00
4,46,1010.00
4,47,1005.00
4,48,1015.00
4,49,1025.00
4,50,1035.00
4,51,1045.00
4,52,1055.00
4,53,1065.00
4,54,1055.00
4,55,1050.00
4,56,1040.00
4,57,1035.00
4,58,1045.00
4,59,1055.00
4,60,1045.00
4,61,1065.00
4,62,1055.00
4,63,1065.00
4,64,1055.00
4,65,1065.00
4,66,1075.00
4,67,1065.00
4,68,1055.00
4,69,1045.00
4,70,1060.00
4,71,1075.00
4,72,1085.00
4,73,1095.00
4,74,1105.00
4,75,1115.00
4,76,1105.00
4,77,1115.00
4,78,1125.00
4,79,1115.00
4,80,1135.00
4,81,1130.00
4,82,1140.00
4,83,1130.00
4,84,1120.00
4,85,1110.00
4,86,1130.00
4,87,1145.00
4,88,1160.00
4,89,1140.00
4,90,1160.00
4,91,1170.00
4,92,1160.00
4,93,1170.00
4,94,1160.00
